"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Nass","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Nass","Pink","Spawners",1.381526267445,0.254929537459101,"arrows-left-right",0.0243784112398511,"arrow-up",513697.682251195,2022,215701.035622971,143308.588561158,2,73,"1950-2022"
"Nass","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA
"Nass","Sockeye","Spawners",0.12749095468854,0.0161659132959506,"arrow-up",-0.00170213607283642,"arrows-left-right",283243.405665258,2022,251215.678926224,266105.385823104,5,41,"1982-2022"
"Nass","Sockeye","Run Size",-0.403900994220697,-0.0279363476618224,"arrow-down",-0.0154667021147626,"arrow-down",405991.624945279,2022,681080.86242236,522749.248081106,5,41,"1982-2022"
"Nass","Steelhead","Spawners",-0.077043381630951,-0.00935997514609677,"arrows-left-right",0.0280780039974977,"arrow-up",10366.4136966836,2022,11231.745339236,14608.0905485263,5,29,"1994-2022"
"Nass","Steelhead","Run Size",-0.253446708958085,-0.0320401368714096,"arrow-down",0.00678344863303071,"arrows-left-right",13478.4905677213,2022,18054.2912735811,18958.5483721608,5,29,"1994-2022"
"Skeena","Chinook","Spawners",-0.430864386205412,-0.0356243235210489,"arrow-down",0.00757789026928068,"arrows-left-right",20327.9529033435,2021,35717.2392846957,34655.3254512392,6,47,"1975-2021"
"Skeena","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,6,NA,NA
"Skeena","Chum","Spawners",-0.891934859512113,-0.0614005872943658,"arrow-down",-0.0623866207408288,"arrow-down",504.981616511221,2022,4672.93721390039,989.670901212219,5,53,"1970-2022"
"Skeena","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Skeena","Coho","Spawners",-0.130317624443392,-0.0382546193160861,"arrow-down",-0.00761068903325413,"arrow-down",69954.7279177626,2022,80437.0996629553,87359.2080711668,4,73,"1950-2022"
"Skeena","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Skeena","Pink","Spawners",0.668271872226455,0.92843863126655,"arrows-left-right",-0.00822256860108417,"arrows-left-right",1424767.06703258,2022,854037.696584253,80162.5361772566,2,73,"1950-2022"
"Skeena","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA
"Skeena","Sockeye","Spawners",0.304584656606142,0.0178917761771569,"arrow-up",0.00831407535251327,"arrow-up",1213962.42978877,2022,930535.572100683,933924.147612258,5,63,"1960-2022"
"Skeena","Sockeye","Run Size",-0.10957641339438,-0.00324843407430286,"arrows-left-right",0.00207809049248642,"arrows-left-right",1790775.1186062,2022,2011149.6882431,1432733.4202691,5,63,"1960-2022"
"Skeena","Steelhead","Spawners",-0.501114901722067,-0.0815778910260356,"arrow-down",0.00872340450893327,"arrow-up",11171.7734555463,2023,22393.4799698555,30212.140619225,5,68,"1956-2023"
"Skeena","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Central Coast","Chinook","Spawners",-0.492216581690833,-0.0268685563873374,"arrow-down",-0.00266518429017604,"arrows-left-right",26574.7452646824,2022,52334.8031985208,43371.94716651,5,73,"1950-2022"
"Central Coast","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Central Coast","Chum","Spawners",-0.527516956179482,-0.0645529131823664,"arrow-down",-0.00434640042338308,"arrow-down",299374.962674412,2022,633620.542768378,687095.274834853,4,73,"1950-2022"
"Central Coast","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Central Coast","Coho","Spawners",-0.281416159257095,-0.0728925458390411,"arrow-down",-0.00696546316903457,"arrow-down",131147.26757424,2022,182507.955423342,161204.313812558,4,73,"1950-2022"
"Central Coast","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Central Coast","Pink","Spawners",-0.204435455762104,0.308900102453434,"arrows-left-right",0.0065808162297265,"arrow-up",1986487.41419943,2022,2496953.17443083,2634565.51463807,2,73,"1950-2022"
"Central Coast","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA
"Central Coast","Sockeye","Spawners",-0.393019105679594,0.00857851398867315,"arrows-left-right",-0.0146672428048408,"arrow-down",244907.715569169,2022,403485.048476484,328743.903082389,5,73,"1950-2022"
"Central Coast","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Central Coast","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Central Coast","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Vancouver Island & Mainland Inlets","Chinook","Spawners",0.772888818384444,0.0531967538857476,"arrow-up",0.0035015112260306,"arrows-left-right",210485.056069621,2022,118724.340684503,214678.430852359,4,73,"1950-2022"
"Vancouver Island & Mainland Inlets","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Vancouver Island & Mainland Inlets","Chum","Spawners",-0.49883841096044,-0.0702921203354261,"arrow-down",0.00526836698707767,"arrow-up",647671.563213509,2022,1292340.78863611,1645297.47246777,4,73,"1950-2022"
"Vancouver Island & Mainland Inlets","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Vancouver Island & Mainland Inlets","Coho","Spawners",-0.122038926798077,-0.0363257957668963,"arrow-down",-0.0123320764110084,"arrow-down",370030.684910319,2022,421465.935341322,315889.772141958,4,73,"1950-2022"
"Vancouver Island & Mainland Inlets","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Vancouver Island & Mainland Inlets","Pink","Spawners",0.985481415969687,0.292829302451928,"arrow-up",0.0218809624348379,"arrow-up",2102597.39037727,2022,1058986.18514663,1343635.51407429,2,73,"1950-2022"
"Vancouver Island & Mainland Inlets","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA
"Vancouver Island & Mainland Inlets","Sockeye","Spawners",-0.0671605530955969,0.00742170056757852,"arrows-left-right",-0.0111443068583145,"arrow-down",504895.78110917,2022,541246.173481031,570709.357984741,5,73,"1950-2022"
