"","region","area_m2"
"1","Central Coast",36401679544.4911
"2","Columbia",7935518569.40762
"3","Fraser",112540705683.309
"4","Haida Gwaii",7906477369.65314
"5","Nass",13032689992.1261
"6","Not Assessed",321324781.922944
"7","Skeena",47477119595.852
"8","Transboundary",18820657665.9298
"9","Vancouver Island & Mainland Inlets",45810200622.9865
"10","Yukon",330395268316.219
