"","region","stream_name_pse","sppSum"
"Central Coast-WHALEN CREEK",Central Coast,WHALEN CREEK,1917.15
"Central Coast-WILSON CREEK",Central Coast,WILSON CREEK,2290.77738927739
"Central Coast-WINDFALL CREEK",Central Coast,WINDFALL CREEK,1159.89473684211
"Central Coast-WINDY BAY CREEK",Central Coast,WINDY BAY CREEK,1113.90177271464
"Central Coast-WINDY ISLAND CREEK",Central Coast,WINDY ISLAND CREEK,1193.91176470588
"Central Coast-WORAN CREEK",Central Coast,WORAN CREEK,3969.76248351234
"Central Coast-YOUNG RIVER",Central Coast,YOUNG RIVER,10193.9090909091
"Columbia-OKANAGAN RIVER",Columbia,OKANAGAN RIVER,31196.6666666667
"Fraser-""O""""NE-ELL CREEK""",Fraser,"O""NE-ELL CREEK",11405.5138888889
"Fraser-15 MILE CREEK",Fraser,15 MILE CREEK,230.152542372881
"Fraser-25 MILE CREEK",Fraser,25 MILE CREEK,404.944444444445
"Fraser-ADAMS LAKE",Fraser,ADAMS LAKE,1210.66666666667
"Fraser-ADAMS LAKE-E-LAKE SHORE",Fraser,ADAMS LAKE-E-LAKE SHORE,402.375
"Fraser-ADAMS LAKE-N-LAKE SHORE",Fraser,ADAMS LAKE-N-LAKE SHORE,17
"Fraser-ADAMS LAKE-S-LAKE SHORE",Fraser,ADAMS LAKE-S-LAKE SHORE,363.647058823529
"Fraser-ADAMS RIVER",Fraser,ADAMS RIVER,357769.85072454
"Fraser-ADAMS RIVER MOUTH-LAKE SHORE",Fraser,ADAMS RIVER MOUTH-LAKE SHORE,1188.26315789474
"Fraser-ADAMS RIVER SPAWNING CHANNEL",Fraser,ADAMS RIVER SPAWNING CHANNEL,643.891891891892
"Fraser-ADAMS RIVER-UPPER",Fraser,ADAMS RIVER-UPPER,1009.99390648567
"Fraser-AHBAU CREEK",Fraser,AHBAU CREEK,10.5882352941176
"Fraser-ALBREDA RIVER",Fraser,ALBREDA RIVER,748.375
"Fraser-ALOUETTE RIVER",Fraser,ALOUETTE RIVER,12064.5668276973
"Fraser-AMERICAN CREEK",Fraser,AMERICAN CREEK,676.358974358974
"Fraser-ANDERSON RIVER",Fraser,ANDERSON RIVER,477.166666666667
"Fraser-ANKWILL CREEK",Fraser,ANKWILL CREEK,2459.51470588235
"Fraser-ANSTEY RIVER",Fraser,ANSTEY RIVER,2398.09150326797
"Fraser-ANTLER CREEK",Fraser,ANTLER CREEK,78.7407407407407
"Fraser-ATCHELITZ CREEK",Fraser,ATCHELITZ CREEK,40.78125
"Fraser-AVOLA CREEK",Fraser,AVOLA CREEK,132.358974358974
"Fraser-BAD RIVER (JAMES CREEK)",Fraser,BAD RIVER (JAMES CREEK),317.55
"Fraser-BAEZAEKO RIVER",Fraser,BAEZAEKO RIVER,339.739130434783
"Fraser-BAKER CREEK",Fraser,BAKER CREEK,242.6
"Fraser-BARNES CREEK",Fraser,BARNES CREEK,77.3888888888889
"Fraser-BARRETT CREEK",Fraser,BARRETT CREEK,2424.7
"Fraser-BARRIERE RIVER",Fraser,BARRIERE RIVER,1111.86740776103
"Fraser-BATES CREEK",Fraser,BATES CREEK,139.611111111111
"Fraser-BELCHARTON CREEK",Fraser,BELCHARTON CREEK,70.5081081081081
"Fraser-BESSETTE CREEK",Fraser,BESSETTE CREEK,610.828258007898
"Fraser-BIG SILVER CREEK",Fraser,BIG SILVER CREEK,3657.95447087777
"Fraser-BIG SLIDE-LAKE SHORE",Fraser,BIG SLIDE-LAKE SHORE,402.947368421053
"Fraser-BILL MINER CREEK",Fraser,BILL MINER CREEK,144.380952380952
"Fraser-BILL MINER CREEK-LAKE SHORE",Fraser,BILL MINER CREEK-LAKE SHORE,122.75
"Fraser-BIRCH ISLAND CHANNEL",Fraser,BIRCH ISLAND CHANNEL,787.619047619048
"Fraser-BIRKENHEAD RIVER",Fraser,BIRKENHEAD RIVER,91679.8642109065
"Fraser-BIVOUAC CREEK",Fraser,BIVOUAC CREEK,1324.74137931035
"Fraser-BLACKWATER CREEK",Fraser,BLACKWATER CREEK,269.34375
"Fraser-BLANCHETTE CREEK",Fraser,BLANCHETTE CREEK,109.688888888889
"Fraser-BLANEY CREEK",Fraser,BLANEY CREEK,1679.98819612591
"Fraser-BLUE LEAD CREEK",Fraser,BLUE LEAD CREEK,1033.93333333333
"Fraser-BLUE LEAD CREEK-LAKE SHORE",Fraser,BLUE LEAD CREEK-LAKE SHORE,1238.85
"Fraser-BLUE RIVER",Fraser,BLUE RIVER,929.235588972431
"Fraser-BLURTON CREEK",Fraser,BLURTON CREEK,19.8709677419355
"Fraser-BOLEAN CREEK",Fraser,BOLEAN CREEK,30.6818181818182
"Fraser-BONAPARTE RIVER",Fraser,BONAPARTE RIVER,3619.46789043289
"Fraser-BORDEN CREEK",Fraser,BORDEN CREEK,107.652173913043
"Fraser-BOUCHIER CREEK",Fraser,BOUCHIER CREEK,456.497023809524
"Fraser-BOULDERY CREEK",Fraser,BOULDERY CREEK,42.6875
"Fraser-BOULDERY CREEK-LAKE SHORE",Fraser,BOULDERY CREEK-LAKE SHORE,809.315789473684
"Fraser-BOWRON RIVER",Fraser,BOWRON RIVER,11151.4075396825
"Fraser-BRIDAL CREEK",Fraser,BRIDAL CREEK,58.9285714285714
"Fraser-BRIDGE RIVER",Fraser,BRIDGE RIVER,38203.9464646465
"Fraser-BRUNETTE RIVER",Fraser,BRUNETTE RIVER,614.321428571429
"Fraser-BUSH CREEK",Fraser,BUSH CREEK,42.1
"Fraser-BUSH CREEK-LAKE SHORE",Fraser,BUSH CREEK-LAKE SHORE,142.470588235294
"Fraser-c(""BAXTER BEACH"", ""BEAR BEACH-LAKE SHORE"", ""\""BETTY FRANK\""\""S-LAKE SHORE\"""", ""BOWLING CREEK"", ""BOWLING POINT"")",Fraser,c("BAXTER BEACH", "BEAR BEACH-LAKE SHORE", "\"BETTY FRANK\"\"S-LAKE SHORE\"", "BOWLING CREEK", "BOWLING POINT"),885.052631578947
"Fraser-c(""CAYOOSH CREEK"", ""SETON AND CAYOOSH CREEKS"")",Fraser,c("CAYOOSH CREEK", "SETON AND CAYOOSH CREEKS"),219269.209558824
"Fraser-c(""FOLEY CREEK"", ""FOLEY CREEK SIDE CHANNEL"")",Fraser,c("FOLEY CREEK", "FOLEY CREEK SIDE CHANNEL"),782.156670746634
"Fraser-c(""GUNTHER DITCH"", ""PEACH CREEK SIDE CHANNEL"")",Fraser,c("GUNTHER DITCH", "PEACH CREEK SIDE CHANNEL"),56.8571428571429
"Fraser-c(""SETON RIVER"", ""UPPER and  LOWER SETON CHANNELS"")",Fraser,c("SETON RIVER", "UPPER and  LOWER SETON CHANNELS"),207643.384615385
"Fraser-CAMERON CREEK",Fraser,CAMERON CREEK,6667
"Fraser-CANOE CREEK",Fraser,CANOE CREEK,54.3150406504065
"Fraser-CAPTAIN CREEK",Fraser,CAPTAIN CREEK,121.074074074074
"Fraser-CARIBOO RIVER",Fraser,CARIBOO RIVER,929.052631578947
"Fraser-CAYENNE CREEK",Fraser,CAYENNE CREEK,39.6818181818182
"Fraser-CEDAR CREEK",Fraser,CEDAR CREEK,25.3611111111111
"Fraser-CELISTA CREEK",Fraser,CELISTA CREEK,397.822134387352
"Fraser-CHEHALIS RIVER",Fraser,CHEHALIS RIVER,63240.6183333333
"Fraser-CHILAKO RIVER",Fraser,CHILAKO RIVER,130.03125
"Fraser-CHILCOTIN RIVER",Fraser,CHILCOTIN RIVER,795.88
"Fraser-CHILKO LAKE-SOUTH END",Fraser,CHILKO LAKE-SOUTH END,39387.2222222222
"Fraser-CHILKO RIVER",Fraser,CHILKO RIVER,430247.581290847
"Fraser-CHILLIWACK LAKE",Fraser,CHILLIWACK LAKE,1574.20408163265
"Fraser-CHILLIWACK RIVER-UPPER",Fraser,CHILLIWACK RIVER-UPPER,18068.3476923077
"Fraser-CHILLIWACK/VEDDER RIVER",Fraser,CHILLIWACK/VEDDER RIVER,277881.490065549
"Fraser-CHILQUA CREEK",Fraser,CHILQUA CREEK,1247.82048681542
"Fraser-CHURN CREEK",Fraser,CHURN CREEK,677.384615384615
"Fraser-CLAPPERTON CREEK",Fraser,CLAPPERTON CREEK,5.07692307692308
"Fraser-CLAYBURN CREEK",Fraser,CLAYBURN CREEK,262.851648351648
"Fraser-CLEARWATER RIVER",Fraser,CLEARWATER RIVER,3656.21149474283
"Fraser-COGBURN CREEK",Fraser,COGBURN CREEK,393.269973987365
"Fraser-COHO CREEK",Fraser,COHO CREEK,146.615384615385
"Fraser-COLDWATER RIVER",Fraser,COLDWATER RIVER,3864.56785714286
"Fraser-COOK CREEK",Fraser,COOK CREEK,177.230769230769
"Fraser-COQUIHALLA RIVER",Fraser,COQUIHALLA RIVER,20870.5600961538
"Fraser-COQUITLAM RIVER",Fraser,COQUITLAM RIVER,7167.39190353144
"Fraser-CORBOLD CREEK",Fraser,CORBOLD CREEK,9802.27272727273
"Fraser-CRAIGELLACHIE CREEK",Fraser,CRAIGELLACHIE CREEK,13.9285714285714
"Fraser-CRAZY CREEK",Fraser,CRAZY CREEK,312.778846153846
"Fraser-CREIGHTON CREEK",Fraser,CREIGHTON CREEK,78.0327695560254
"Fraser-CROSSING CREEK",Fraser,CROSSING CREEK,11.4545454545455
"Fraser-CROW CREEK",Fraser,CROW CREEK,708.833333333333
"Fraser-CRUIKSHANK POINT-LAKE SHORE W",Fraser,CRUIKSHANK POINT-LAKE SHORE W,694.1875
"Fraser-CULTUS LAKE",Fraser,CULTUS LAKE,9442.6111111111
"Fraser-DANFORTH CREEK",Fraser,DANFORTH CREEK,44.4210526315789
"Fraser-DARLINGTON CREEK",Fraser,DARLINGTON CREEK,8.38888888888889
"Fraser-DEADMAN RIVER",Fraser,DEADMAN RIVER,2627.52330229389
"Fraser-DECEPTION POINT",Fraser,DECEPTION POINT,11011.9230769231
"Fraser-DEPOT CREEK",Fraser,DEPOT CREEK,200.309090909091
"Fraser-DEROCHE CREEK",Fraser,DEROCHE CREEK,179.75
"Fraser-DEVOE CREEK-LAKE SHORE",Fraser,DEVOE CREEK-LAKE SHORE,436.785714285714
"Fraser-DOME CREEK",Fraser,DOME CREEK,329.607142857143
"Fraser-DOMINION CREEK",Fraser,DOMINION CREEK,26.7857142857143
"Fraser-DOUGLAS CREEK",Fraser,DOUGLAS CREEK,354.605509084781
"Fraser-DRAPER CREEK",Fraser,DRAPER CREEK,89.4045584045584
"Fraser-DRIFTWOOD RIVER",Fraser,DRIFTWOOD RIVER,20006.3076923077
"Fraser-DUNN CREEK",Fraser,DUNN CREEK,1370.6511627907
"Fraser-DUNVILLE CREEK",Fraser,DUNVILLE CREEK,151.710526315789
"Fraser-DUST CREEK",Fraser,DUST CREEK,4795.57971014493
"Fraser-DUTEAU CREEK",Fraser,DUTEAU CREEK,355.213333333333
"Fraser-EAGLE RIVER",Fraser,EAGLE RIVER,21191.3255424494
"Fraser-EAST BARRIERE RIVER",Fraser,EAST BARRIERE RIVER,63.2444444444445
"Fraser-EAST CREEK",Fraser,EAST CREEK,160.333333333333
"Fraser-EAST TWIN CREEK",Fraser,EAST TWIN CREEK,33.2564102564103
"Fraser-ELK BROOK",Fraser,ELK BROOK,293.888888888889
"Fraser-ELKIN CREEK",Fraser,ELKIN CREEK,433.585365853659
"Fraser-EMORY CREEK",Fraser,EMORY CREEK,399.666666666667
"Fraser-ENDAKO RIVER",Fraser,ENDAKO RIVER,110.932203389831
"Fraser-FENNELL CREEK",Fraser,FENNELL CREEK,5870.49152542373
"Fraser-FIFTEEN MILE CREEK",Fraser,FIFTEEN MILE CREEK,158.05
"Fraser-FINN CREEK",Fraser,FINN CREEK,770.492354124749
"Fraser-FISH HATCHERY CREEK",Fraser,FISH HATCHERY CREEK,324.909090909091
"Fraser-FLEMING CREEK",Fraser,FLEMING CREEK,1476.77777777778
"Fraser-FONTONIKO CREEK",Fraser,FONTONIKO CREEK,491.722222222222
"Fraser-FORCITE SIDE CHANNEL",Fraser,FORCITE SIDE CHANNEL,112.916666666667
"Fraser-FORFAR CREEK",Fraser,FORFAR CREEK,7521.13888888889
"Fraser-FORGETMENOT CREEK",Fraser,FORGETMENOT CREEK,43
"Fraser-FORTUNE CREEK",Fraser,FORTUNE CREEK,0.6
"Fraser-FOUR MILE CREEK",Fraser,FOUR MILE CREEK,31.8333333333333
"Fraser-FOUR MILE CREEK-LAKE SHORE",Fraser,FOUR MILE CREEK-LAKE SHORE,1577.75
"Fraser-FOURTEEN MILE CREEK",Fraser,FOURTEEN MILE CREEK,286.952380952381
"Fraser-FRANCOIS LAKE",Fraser,FRANCOIS LAKE,98.1052631578947
"Fraser-FRASER RIVER",Fraser,FRASER RIVER,1960724
"Fraser-FRASER RIVER-ABOVE TETE JAUNE",Fraser,FRASER RIVER-ABOVE TETE JAUNE,2855.69014084507
"Fraser-FRENCH CREEK",Fraser,FRENCH CREEK,317.864864864865
"Fraser-FRYPAN CREEK",Fraser,FRYPAN CREEK,1227.4347826087
"Fraser-GATES CHANNEL",Fraser,GATES CHANNEL,9443.29411764706
"Fraser-GATES RIVER",Fraser,GATES RIVER,7059.78761528327
"Fraser-GLUSKE CREEK",Fraser,GLUSKE CREEK,5816.87323943662
"Fraser-GOAT RIVER",Fraser,GOAT RIVER,132.017857142857
"Fraser-GRAIN CREEK",Fraser,GRAIN CREEK,816.95652173913
"Fraser-GRAIN CREEK-LAKE SHORE",Fraser,GRAIN CREEK-LAKE SHORE,988.470588235294
"Fraser-GREEN RIVER",Fraser,GREEN RIVER,823.361742424242
"Fraser-GROUSE (MOUL) CREEK",Fraser,GROUSE (MOUL) CREEK,6
"Fraser-GUICHON CREEK",Fraser,GUICHON CREEK,26.8571428571429
"Fraser-HAGGARD CREEK",Fraser,HAGGARD CREEK,6.1875
"Fraser-HAGGEN CREEK",Fraser,HAGGEN CREEK,196.518518518519
"Fraser-HARBOUR CREEK",Fraser,HARBOUR CREEK,178.55
"Fraser-HARPER CREEK",Fraser,HARPER CREEK,121.71875
"Fraser-HARRISON RIVER",Fraser,HARRISON RIVER,654411.740068089
"Fraser-HAWKINS CREEK",Fraser,HAWKINS CREEK,2084.2443438914
"Fraser-HAZELTINE CREEK",Fraser,HAZELTINE CREEK,287.75
"Fraser-HEMP CREEK",Fraser,HEMP CREEK,25.6666666666667
"Fraser-HERRICK CREEK",Fraser,HERRICK CREEK,447.181818181818
"Fraser-HICKS CREEK",Fraser,HICKS CREEK,1232.52711640212
"Fraser-HIUIHILL CREEK",Fraser,HIUIHILL CREEK,561.517647058824
"Fraser-HLINA CREEK-LAKE SHORE",Fraser,HLINA CREEK-LAKE SHORE,307.105263157895
"Fraser-HOLLIDAY CREEK",Fraser,HOLLIDAY CREEK,31.2916666666667
"Fraser-HOLMES RIVER",Fraser,HOLMES RIVER,1133.16949152542
"Fraser-HOOKER CREEK",Fraser,HOOKER CREEK,205.972972972973
"Fraser-HOPE SLOUGH",Fraser,HOPE SLOUGH,47.1153846153846
"Fraser-HOPEDALE CREEK",Fraser,HOPEDALE CREEK,198.8
"Fraser-HOPEDALE SLOUGH",Fraser,HOPEDALE SLOUGH,2146.12037037037
"Fraser-HORSEFLY CHANNEL",Fraser,HORSEFLY CHANNEL,11804.3333333333
"Fraser-HORSEFLY RIVER",Fraser,HORSEFLY RIVER,156870.55212434
"Fraser-HORSEFLY RIVER-UPPER",Fraser,HORSEFLY RIVER-UPPER,184040.388888889
"Fraser-HORSEY CREEK",Fraser,HORSEY CREEK,84.5192307692308
"Fraser-HOY CREEK",Fraser,HOY CREEK,408.81074168798
"Fraser-HUCKEY CREEK",Fraser,HUCKEY CREEK,70.1764705882353
"Fraser-HUDSON BAY CREEK",Fraser,HUDSON BAY CREEK,276
"Fraser-HUNAKWA CREEK",Fraser,HUNAKWA CREEK,436.530377668309
"Fraser-HUNTER CREEK",Fraser,HUNTER CREEK,482.985294117647
"Fraser-HYDE CREEK",Fraser,HYDE CREEK,504.870192307692
"Fraser-ICE CREEK",Fraser,ICE CREEK,33.9411764705882
"Fraser-INCHES CREEK",Fraser,INCHES CREEK,4950.94499221588
"Fraser-INDIANPOINT CREEK",Fraser,INDIANPOINT CREEK,417.724137931035
"Fraser-IRELAND CREEK",Fraser,IRELAND CREEK,26.8333333333333
"Fraser-ISAIAH CREEK",Fraser,ISAIAH CREEK,411.588235294118
"Fraser-JOHN SANDY CREEK",Fraser,JOHN SANDY CREEK,48.4375
"Fraser-JOHNSON CREEK",Fraser,JOHNSON CREEK,26.52
"Fraser-KANAKA CREEK",Fraser,KANAKA CREEK,3150.44814814815
"Fraser-KASTBERG CREEK",Fraser,KASTBERG CREEK,241.555555555555
"Fraser-KAZCHEK CREEK",Fraser,KAZCHEK CREEK,1056.34576534577
"Fraser-KENNETH CREEK",Fraser,KENNETH CREEK,93.0833333333333
"Fraser-KILLDOG CREEK",Fraser,KILLDOG CREEK,78.1818181818182
"Fraser-KINGFISHER CREEK",Fraser,KINGFISHER CREEK,38
"Fraser-KNIGHT CREEK-LAKE SHORE",Fraser,KNIGHT CREEK-LAKE SHORE,343.266666666667
"Fraser-KOTSINE RIVER",Fraser,KOTSINE RIVER,446.714285714286
"Fraser-KUZKWA RIVER",Fraser,KUZKWA RIVER,8653.31157635468
"Fraser-LAGACE CREEK",Fraser,LAGACE CREEK,452.725045372051
"Fraser-LEE CREEK-LAKE SHORE",Fraser,LEE CREEK-LAKE SHORE,1743.78947368421
"Fraser-LEMIEUX CREEK",Fraser,LEMIEUX CREEK,1123.08741258741
"Fraser-LEO CREEK",Fraser,LEO CREEK,632.617021276596
"Fraser-LIGHTNING CREEK",Fraser,LIGHTNING CREEK,71.875
"Fraser-LILLOOET RIVER",Fraser,LILLOOET RIVER,426.923076923077
"Fraser-LILLOOET RIVER-LOWER",Fraser,LILLOOET RIVER-LOWER,13741.2195121951
"Fraser-LILLOOET RIVER-UPPER",Fraser,LILLOOET RIVER-UPPER,2000
"Fraser-LINDQUIST CREEK",Fraser,LINDQUIST CREEK,11.2777777777778
"Fraser-LION CREEK",Fraser,LION CREEK,669.58064516129
"Fraser-LITTLE CAMPBELL RIVER",Fraser,LITTLE CAMPBELL RIVER,161.620689655172
"Fraser-LITTLE HORSEFLY RIVER",Fraser,LITTLE HORSEFLY RIVER,3345.0612244898
"Fraser-LITTLE RIVER",Fraser,LITTLE RIVER,72567.9430641822
"Fraser-LIUMCHEN CREEK",Fraser,LIUMCHEN CREEK,1898.8
"Fraser-LOFTUS CREEK",Fraser,LOFTUS CREEK,276.913043478261
"Fraser-LONG CREEK",Fraser,LONG CREEK,181.8
"Fraser-LONG CREEK-LAKE SHORE",Fraser,LONG CREEK-LAKE SHORE,1158.3125
"Fraser-LORENZETTA CREEK",Fraser,LORENZETTA CREEK,596.51567891973
"Fraser-LOUIS CREEK",Fraser,LOUIS CREEK,1151.92142857143
"Fraser-LOVELL CREEK",Fraser,LOVELL CREEK,1151.93220338983
"Fraser-LUCKAKUCK CREEK",Fraser,LUCKAKUCK CREEK,142.28
"Fraser-LYNX CREEK",Fraser,LYNX CREEK,274.666666666667
"Fraser-LYNX CREEK-LAKE SHORE",Fraser,LYNX CREEK-LAKE SHORE,127.45
"Fraser-LYON CREEK",Fraser,LYON CREEK,1201.47531457332
"Fraser-MACINTYRE CREEK",Fraser,MACINTYRE CREEK,452.618087182824
"Fraser-MACLAING CREEK",Fraser,MACLAING CREEK,507.830188679245
"Fraser-MAHOOD CREEK",Fraser,MAHOOD CREEK,238.321428571429
"Fraser-MAHOOD RIVER",Fraser,MAHOOD RIVER,225.469230769231
"Fraser-MANN CREEK",Fraser,MANN CREEK,115.380335968379
"Fraser-MARIA SLOUGH",Fraser,MARIA SLOUGH,799.298095238095
"Fraser-MARSHALL CREEK",Fraser,MARSHALL CREEK,23
"Fraser-MCKALE RIVER",Fraser,MCKALE RIVER,28.45
"Fraser-MCKENZIE CREEK",Fraser,MCKENZIE CREEK,77.5
"Fraser-MCKINLEY CREEK",Fraser,MCKINLEY CREEK,28664.7475490196
"Fraser-MCKINLEY CREEK-UPPER",Fraser,MCKINLEY CREEK-UPPER,2721.42424242424
"Fraser-MCNOMEE CREEK",Fraser,MCNOMEE CREEK,1903.86503623188
"Fraser-MCTAGGART CREEK",Fraser,MCTAGGART CREEK,33.8666666666667
"Fraser-MIAMI CREEK",Fraser,MIAMI CREEK,76.7857142857143
"Fraser-MIDDLE RIVER",Fraser,MIDDLE RIVER,21.0666666666667
"Fraser-MIDDLE RIVER-ROSSETTE BAR",Fraser,MIDDLE RIVER-ROSSETTE BAR,31710.74
"Fraser-MILEDGE CREEK",Fraser,MILEDGE CREEK,77.6666666666667
"Fraser-MILLER CREEK",Fraser,MILLER CREEK,56.9647058823529
"Fraser-MITCHELL RIVER",Fraser,MITCHELL RIVER,85759.246969697
"Fraser-MOFFAT CREEK",Fraser,MOFFAT CREEK,1431.48
"Fraser-MOMICH RIVER",Fraser,MOMICH RIVER,169.420332355816
"Fraser-MOMICH RIVER-LAKE SHORE",Fraser,MOMICH RIVER-LAKE SHORE,5.08333333333333
"Fraser-MORKILL RIVER",Fraser,MORKILL RIVER,591.80487804878
"Fraser-MOUNTAIN SLOUGH",Fraser,MOUNTAIN SLOUGH,17.5
"Fraser-MYSTERY CREEK",Fraser,MYSTERY CREEK,25.5714285714286
"Fraser-NADINA RIVER",Fraser,NADINA RIVER,19333.9444444444
"Fraser-NAHATLATCH LAKE",Fraser,NAHATLATCH LAKE,822.333333333333
"Fraser-NAHATLATCH RIVER",Fraser,NAHATLATCH RIVER,10110.0442490649
"Fraser-NARCOSLI CREEK",Fraser,NARCOSLI CREEK,183.5
"Fraser-NARROWS CREEK",Fraser,NARROWS CREEK,2789.52777777778
"Fraser-NATHAN CREEK",Fraser,NATHAN CREEK,752.943137254902
"Fraser-NAVER CREEK",Fraser,NAVER CREEK,234
"Fraser-NAZKO RIVER",Fraser,NAZKO RIVER,170.739130434783
"Fraser-NECHAKO RIVER",Fraser,NECHAKO RIVER,2173.75
"Fraser-NESAKWATCH CREEK",Fraser,NESAKWATCH CREEK,3993.70416666667
"Fraser-NEVIN CREEK",Fraser,NEVIN CREEK,75.377358490566
"Fraser-NICOLA RIVER",Fraser,NICOLA RIVER,6685.33571428571
"Fraser-NICOMEN SLOUGH",Fraser,NICOMEN SLOUGH,3020.98074454429
"Fraser-NIKWIKWAIA CREEK",Fraser,NIKWIKWAIA CREEK,523.771367521368
"Fraser-NITHI RIVER",Fraser,NITHI RIVER,233.320754716981
"Fraser-NOISY CREEK",Fraser,NOISY CREEK,68.85
"Fraser-NORRISH CREEK",Fraser,NORRISH CREEK,2187.1628959276
"Fraser-NORTH ALOUETTE RIVER",Fraser,NORTH ALOUETTE RIVER,1778.00056721497
"Fraser-NORTH BOISE CREEK",Fraser,NORTH BOISE CREEK,446.272727272727
"Fraser-NORTH THOMPSON RIVER",Fraser,NORTH THOMPSON RIVER,8527.25181598063
"Fraser-NORTH THOMPSON RIVER-PIG CHANNEL",Fraser,NORTH THOMPSON RIVER-PIG CHANNEL,787.619047619048
"Fraser-ONYX CREEK",Fraser,ONYX CREEK,22.3333333333333
"Fraser-ONYX CREEK-LAKE SHORE",Fraser,ONYX CREEK-LAKE SHORE,502.052631578947
"Fraser-OWLHEAD CREEK",Fraser,OWLHEAD CREEK,5.2
"Fraser-PALEFACE CREEK",Fraser,PALEFACE CREEK,30.84
"Fraser-PARTINGTON CREEK",Fraser,PARTINGTON CREEK,935.27619047619
"Fraser-PAUL CREEK",Fraser,PAUL CREEK,15.0526315789474
"Fraser-PAULA CREEK",Fraser,PAULA CREEK,2581.22580645161
"Fraser-PEACH CREEK",Fraser,PEACH CREEK,3617.12903225806
"Fraser-PEMBERTON CREEK",Fraser,PEMBERTON CREEK,72.6585365853659
"Fraser-PENFOLD CREEK",Fraser,PENFOLD CREEK,2961.28571428571
"Fraser-PERRY RIVER",Fraser,PERRY RIVER,696.665714285715
"Fraser-PETERSON CREEK",Fraser,PETERSON CREEK,6.30769230769231
"Fraser-PINCHI CREEK",Fraser,PINCHI CREEK,3388.65359477124
"Fraser-PITT RIVER-UPPER",Fraser,PITT RIVER-UPPER,5931.05528691167
"Fraser-POINT CREEK",Fraser,POINT CREEK,473.618181818182
"Fraser-POOLE CREEK",Fraser,POOLE CREEK,198.878205128205
"Fraser-PORTAGE CREEK",Fraser,PORTAGE CREEK,21166.5581131345
"Fraser-PORTER CREEK",Fraser,PORTER CREEK,1933.45454545455
"Fraser-POST CREEK",Fraser,POST CREEK,685.411764705882
"Fraser-PTARMIGAN CREEK",Fraser,PTARMIGAN CREEK,95.125
"Fraser-PYE CREEK",Fraser,PYE CREEK,136.769230769231
"Fraser-QUEEST CREEK-LAKE SHORE",Fraser,QUEEST CREEK-LAKE SHORE,180.5
"Fraser-QUESNEL RIVER",Fraser,QUESNEL RIVER,4328.56165172855
"Fraser-RAFT RIVER",Fraser,RAFT RIVER,9769.79542253521
"Fraser-RAILROAD CREEK",Fraser,RAILROAD CREEK,385.714646464646
"Fraser-RANGER CREEK",Fraser,RANGER CREEK,225.833333333333
"Fraser-REG CHRISTIE CREEK",Fraser,REG CHRISTIE CREEK,55.7608695652174
"Fraser-RIENECKER CREEK-LAKE SHORE",Fraser,RIENECKER CREEK-LAKE SHORE,1011.8125
"Fraser-ROARING RIVER",Fraser,ROARING RIVER,976.740740740741
"Fraser-ROARING RIVER-LAKE SHORE",Fraser,ROARING RIVER-LAKE SHORE,868.3
"Fraser-ROSS CREEK",Fraser,ROSS CREEK,176.285714285714
"Fraser-ROSS CREEK-LAKE SHORE",Fraser,ROSS CREEK-LAKE SHORE,3045.68421052631
"Fraser-RUBY CREEK",Fraser,RUBY CREEK,1544.97619047619
"Fraser-RYAN RIVER",Fraser,RYAN RIVER,339.054054054054
"Fraser-RYDER CREEK",Fraser,RYDER CREEK,617.668269230769
"Fraser-SAKENICHE RIVER",Fraser,SAKENICHE RIVER,576.03488372093
"Fraser-SAKWI CREEK",Fraser,SAKWI CREEK,535.916666666667
"Fraser-SALMON CREEK",Fraser,SALMON CREEK,315.897435897436
"Fraser-SALMON RIVER",Fraser,SALMON RIVER,4915.96743779532
"Fraser-SALWEIN CREEK",Fraser,SALWEIN CREEK,512.688986232791
"Fraser-SAMPSON CREEK",Fraser,SAMPSON CREEK,477.953216374269
"Fraser-SAMPSON SLOUGH",Fraser,SAMPSON SLOUGH,159.090909090909
"Fraser-SANDPOINT CREEK",Fraser,SANDPOINT CREEK,1444.96774193548
"Fraser-SCOREY CREEK",Fraser,SCOREY CREEK,212.92
"Fraser-SCOTCH CREEK",Fraser,SCOTCH CREEK,14723.8306818182
"Fraser-SCOTCH CREEK-LAKE SHORE",Fraser,SCOTCH CREEK-LAKE SHORE,1857.89473684211
"Fraser-SCOTT CREEK",Fraser,SCOTT CREEK,166.833333333333
"Fraser-SEEBACH CREEK",Fraser,SEEBACH CREEK,799.690476190476
"Fraser-SENN CREEK",Fraser,SENN CREEK,185.95
"Fraser-SETON AND CAYOOSH CREEKS",Fraser,SETON AND CAYOOSH CREEKS,53.6511627906977
"Fraser-SETON RIVER",Fraser,SETON RIVER,206.319284802043
"Fraser-SEYMOUR RIVER",Fraser,SEYMOUR RIVER,25457.0889821978
"Fraser-SHALE CREEK",Fraser,SHALE CREEK,695.449275362319
"Fraser-SHANNON CREEK",Fraser,SHANNON CREEK,22.3103448275862
"Fraser-SHUSWAP LAKE",Fraser,SHUSWAP LAKE,12909.1621621622
"Fraser-SHUSWAP LAKE MAIN ARM-N-LAKE SHORE",Fraser,SHUSWAP LAKE MAIN ARM-N-LAKE SHORE,11.5
"Fraser-SHUSWAP LAKE MAIN ARM-S-LAKE SHORE",Fraser,SHUSWAP LAKE MAIN ARM-S-LAKE SHORE,237.357142857143
