"","region","stream_name_pse","sppSum"
"Central Coast-CROFT CREEK",Central Coast,CROFT CREEK,13.2
"Central Coast-CURTIS INLET CREEK",Central Coast,CURTIS INLET CREEK,10362.2934039645
"Central Coast-DALA RIVER",Central Coast,DALA RIVER,50646.8769860542
"Central Coast-DALLAIN CREEK",Central Coast,DALLAIN CREEK,1598.06736305633
"Central Coast-DALLERY CREEK",Central Coast,DALLERY CREEK,28119.8454545455
"Central Coast-DALLY CREEK",Central Coast,DALLY CREEK,923.866494401378
"Central Coast-DE COSMOS LAGOON CREEK",Central Coast,DE COSMOS LAGOON CREEK,259.461038961039
"Central Coast-DEADMAN CREEK",Central Coast,DEADMAN CREEK,2152.11111111111
"Central Coast-DEAN RIVER",Central Coast,DEAN RIVER,27181.6421388892
"Central Coast-DEEP BAY CREEK",Central Coast,DEEP BAY CREEK,694.731797235023
"Central Coast-DEER LAKE CREEK",Central Coast,DEER LAKE CREEK,3666.86112201752
"Central Coast-DEER PASS LAGOON CREEKS",Central Coast,DEER PASS LAGOON CREEKS,1275.72387633575
"Central Coast-DEVIL CREEK",Central Coast,DEVIL CREEK,766.045422647528
"Central Coast-DEVON LAKE CREEK",Central Coast,DEVON LAKE CREEK,5533.51023391813
"Central Coast-DOCEE RIVER",Central Coast,DOCEE RIVER,6250.36745689655
"Central Coast-DON CREEK",Central Coast,DON CREEK,4821.43731738849
"Central Coast-DOUGLAS CREEK",Central Coast,DOUGLAS CREEK,3086.22897236245
"Central Coast-DRANEY CREEK",Central Coast,DRANEY CREEK,4961.56054131054
"Central Coast-DUFFEY CREEK",Central Coast,DUFFEY CREEK,4406.4270862191
"Central Coast-DUTHIE CREEK",Central Coast,DUTHIE CREEK,7221.51857201214
"Central Coast-EAGLE BAY CREEK",Central Coast,EAGLE BAY CREEK,5302.33201581028
"Central Coast-EAGLE CREEK",Central Coast,EAGLE CREEK,8887.91055460263
"Central Coast-EAST ARM CREEK",Central Coast,EAST ARM CREEK,1428.08504398827
"Central Coast-ELCHO CREEK",Central Coast,ELCHO CREEK,20255.2352484472
"Central Coast-EMSLEY CREEK",Central Coast,EMSLEY CREEK,5260.33333333333
"Central Coast-END HILL CREEK",Central Coast,END HILL CREEK,11192.5127578055
"Central Coast-ESTEVAN CREEK",Central Coast,ESTEVAN CREEK,204.785714285714
"Central Coast-EVANS INLET CREEK #3",Central Coast,EVANS INLET CREEK #3,3386.63555114201
