YEAR,SOCKEYE,COHO,PINK,CHUM,CHINOOK
1970,678652,84725,971800,10890,21150
1971,821850,75795,1173381,5232,18500
1972,697237,57514,1765154,36920,20651
1973,820196,41292,1260186,25476,40341
1974,723898,38798,367605,14102,31576
1975,822633,22119,1767907,10375,20319
1976,575590,32891,693850,11071,13053
1977,951805,37634,976527,10927,29018
1978,424075,49963,724597,8153,22676
1979,1166236,24494,515563,5705,18488
1980,542164,31587,745367,25007,23400
1981,1424509,26692,1187835,9385,24524
1982,1140737,24521,739247,4626,16990
1983,893724,24978,2610074,1667,23602
1984,1055215,50409,1037698,29764,35864
1985,2174806,19974,2042150,12198,52407
1986,716312,54587,2323944,12780,59719
1987,1324128,32739,3180414,7652,60948
1988,1417543,11293,828090,108921,68307
1989,1137994,44126,4675527,20331,57192
1990,989566,76662,2611520,6343,55541
1991,1232568,52544,4797937,4680,52792
1992,1550109,34703,821950,11290,67118
1993,1629426,23192,663888,10052,68286
1994,1026816,33830,242285,7967,22611
1995,1720292,16293,1641489,7928,34390
1996,1727147,14759,2025648,8404,73684
1997,985097,6333,484476,22250,42539
1998,521417,39044,272871,14664,46774
1999,624366,71787,1095352,2650,43775
2000,1394177,29922,260481,4650,51804
2001,1508045,74254,1017612,8620,81504
2002,610851,46129,232451,3060,44771
2003,1211762,50484,1517355,1782,56758
2004,923187,32303,653350,2020,39552
2005,704559,77732,1213770,2335,29496
2006,1172699,50332,116367,685,36682
2007,1042717,26792,632243,474,37054
2008,867676,33145,69898,510,34615
2009,667603,88215,2515312,1330,36476
2010,662755,44956,325404,1117,42339
2011,890829,34338,268774,3705,34190
2012,1100573,29771,241029,2254,34213
2013,411373,53671,960000,1347,26757
2014,1646038,55626,1480946,1028,28496
2015,1271427,NA,240101,NA,41658
2016,882225,24224,49932,NA,31297
2017,887647,16753,465109,700,17413
2018,1490159,23372,17652,856,29408
2019,570999,27245,297437,1174,23248
2020,1488135,10735,31025,71,9660
2021,1021519,13257,753144,387,8209
2022,2528148,32187,1208408,1189,19118
