"region","species_name","cuid","cu_name_pse","threegen_intercept","threegen_slope","threegen_percent_change","threegen_start_year","uploadid"
"Central Coast","Lake sockeye",524,"Long",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",525,"Owikeno",12.34,-0.006,-8,2007,1595
"Central Coast","Lake sockeye",527,"Wannock (Owikeno)",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",528,"South Atnarko Lakes",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",529,"Backland",5.56,-0.14,-85,2007,1595
"Central Coast","Lake sockeye",530,"Soda Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",532,"Canoona",9.22,-0.1,-76,2007,1595
"Central Coast","Lake sockeye",533,"Dome",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",534,"Evelyn",7.6,-0.02,-23,2007,1595
"Central Coast","Lake sockeye",535,"Kainet Creek",7.54,-0.004,-6,2007,1595
"Central Coast","Lake sockeye",536,"Kimsquit",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",537,"Kitkiata",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",538,"Kitlope",9.61,0.02,36,2007,1595
"Central Coast","Lake sockeye",539,"Pine River",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",540,"Banks",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",541,"Bloomfield",7.07,-0.05,-50,2005,1595
"Central Coast","Lake sockeye",542,"Bolton Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",543,"Bonilla",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",544,"Borrowman Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",545,"Busey Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",546,"Cartwright Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",547,"Chic Chic",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",548,"Citeyats",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",549,"Fannie Cove",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",550,"Curtis Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",551,"Dallain Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",552,"Deer",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",553,"Devon",8.9,-0.06,-54,2007,1595
"Central Coast","Lake sockeye",554,"Douglas Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",555,"Elizabeth",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",556,"Elsie/Hoy",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",557,"End Hill Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",558,"Evinrude Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",559,"Freeda",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",560,"Hartley Bay",7.61,-0.04,-44,2007,1595
"Central Coast","Lake sockeye",561,"Hevenor Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",562,"Higgins Lagoon",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",563,"Kadjusdis River",5.83,0.15,762,2007,1595
"Central Coast","Lake sockeye",564,"Kdelmashan Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",565,"Keecha",9.05,-0.11,-79,2005,1595
"Central Coast","Lake sockeye",566,"Kent Inlet Lagoon Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",567,"Kenzuwash Creeks",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",568,"Keswar Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",569,"Kildidt Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",570,"Kildidt Lagoon Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",571,"Kisameet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",572,"Koeye",7.86,0.13,560,2007,1595
"Central Coast","Lake sockeye",573,"Kooryet",9.21,-0.17,-90,2007,1595
"Central Coast","Lake sockeye",574,"Kunsoot River",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",575,"Kwakwa Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",576,"Lewis Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",577,"Limestone Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",578,"Lowe/Simpson/Weir",9.79,-0.08,-67,2007,1595
"Central Coast","Lake sockeye",579,"Mary Cove Creek",5.91,0.02,37,2007,1595
"Central Coast","Lake sockeye",580,"Mcdonald Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",581,"Mcloughlin",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",582,"Mikado",8.98,-0.05,-51,2007,1595
"Central Coast","Lake sockeye",583,"Monckton Inlet Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",584,"Namu",7.43,0.08,195,2007,1595
"Central Coast","Lake sockeye",585,"Port John",4.74,0.17,1036,2007,1595
"Central Coast","Lake sockeye",586,"Powles Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",587,"Price Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",588,"Roderick",6.81,-0.05,-53,2007,1595
"Central Coast","Lake sockeye",589,"Ryan Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",590,"Salter",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",591,"Scoular/Kilpatrick",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",592,"Sheneeza Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",593,"Ship Point Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",594,"Spencer Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",595,"Stannard Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",596,"Talamoosa Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",597,"Tankeeah River",8.39,0.01,22,2006,1595
"Central Coast","Lake sockeye",598,"Treneman Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",599,"Tsimtack/Moore/Roger",4.74,0.26,3921,2007,1595
"Central Coast","Lake sockeye",600,"Tuno Creek East",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",601,"Tuno Creek West",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",602,"Tyler Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",603,"Wale Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",604,"Watt Bay",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",605,"West Creek",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",606,"Yaaklele Lagoon",-989898,-989898,-989898,-989898,-989898
"Central Coast","Lake sockeye",607,"Yeo",7.53,-0.07,-62,2007,1595
"Central Coast","Pink (even)",608,"Hecate Lowlands (even)",11.9,0.12,85,2016,1595
"Central Coast","Pink (even)",609,"Hecate Strait-Fjords (even)",14.6,0.16,123,2016,1595
"Central Coast","Pink (odd)",610,"Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)",16.13,-0.78,-98,2016,1595
"Central Coast","Pink (odd)",611,"Hecate Strait-Lowlands (odd)",11.83,0.23,210,2016,1595
"Central Coast","Pink (odd)",612,"Hecate Strait-Fjords (odd)",13.86,-0.03,-13,2016,1595
"Central Coast","River sockeye",613,"Rivers-Smith Inlets (river-type)",-989898,-989898,-989898,-989898,-989898
"Central Coast","River sockeye",614,"Northern Coastal Fjords (river-type)",9.06,-0.059,-56,2007,1595
"Central Coast","River sockeye",615,"Northern Coastal Streams (river-type)",-989898,-989898,-989898,-989898,-989898
"Central Coast","Steelhead",680,"North Coast Winter",-989898,-989898,-989898,-989898,-989898
"Central Coast","Steelhead",681,"North Coast Summer",-989898,-989898,-989898,-989898,-989898
"Central Coast","Steelhead",682,"Central Coast Winter",-989898,-989898,-989898,-989898,-989898
"Central Coast","Steelhead",683,"Transition Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",302,"Boundary Bay (Fall 4-1)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",303,"Lower Fraser River (Fall 4-1)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",304,"Lower Fraser River (Spring 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",305,"Lower Fraser River-Upper Pitt (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",306,"Lower Fraser River (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",307,"Lower Fraser River-Maria Slough (Summer 4-1)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",308,"Fraser Canyon-Nahatlatch (Spring 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",309,"Middle Fraser River-Portage (Fall 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",310,"Middle Fraser River (Spring 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",311,"Middle Fraser River (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",312,"Upper Fraser River (Spring 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",313,"South Thompson River (Summer 4-1)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",314,"South Thompson River (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",315,"Shuswap River (Summer 4-1)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",316,"South Thompson River-Bessette Creek (Summer 4-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",317,"Lower Thompson River (Spring 4-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",318,"North Thompson River (Spring 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",319,"North Thompson River (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Fraser","Chinook",333,"South Thompson-Adams River Upper",-989898,-989898,-989898,-989898,-989898
"Fraser","Chum",701,"Lower Fraser",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",704,"Lillooet",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",705,"Fraser Canyon",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",707,"Lower Thompson",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",708,"South Thompson",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",709,"North Thompson",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",749,"Interior Fraser",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",750,"Lower Fraser",-989898,-989898,-989898,-989898,-989898
"Fraser","Coho",906,"Boundary Bay",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",711,"Chilliwack-Early Summer (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",712,"Cultus-Late",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",713,"Harrison-Downstream Migrating-Late",9.42,-0.17,-84,2009,1440
"Fraser","Lake sockeye",714,"Harrison-Upstream Migrating-Late",10.5,-0.2,-90,2009,1440
"Fraser","Lake sockeye",715,"Pitt-Early Summer",10.67,-0.046,-40,2009,1440
"Fraser","Lake sockeye",716,"Lillooet-Harrison-Late",11.91,-0.18,-87,2009,1440
"Fraser","Lake sockeye",718,"Nahatlatch-Early Summer",7.9,-0.003,-3,2009,1440
"Fraser","Lake sockeye",719,"Anderson-Seton-Early Summer",9.83,-0.046,-40,2009,1440
"Fraser","Lake sockeye",720,"Chilko-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",721,"Chilko-Summer",13.37,-0.047,-40,2009,1440
"Fraser","Lake sockeye",725,"Francois-Fraser-Summer",11.5,-0.001,-1,2009,1440
"Fraser","Lake sockeye",727,"Nadina-Francois-Early Summer",9.46,0.08,140,2009,1440
"Fraser","Lake sockeye",728,"Quesnel-Summer (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",729,"Seton-Late (de novo)",7.66,-0.11,-70,2009,1440
"Fraser","Lake sockeye",731,"Takla-Trembleur-Stuart-Summer (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",732,"Takla-Trembleur-Early Stuart (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",734,"Taseko-Early Summer",5.97,-0.14,-79,2009,1440
"Fraser","Lake sockeye",735,"Bowron-Early Summer",8.13,-0.15,-81,2009,1440
"Fraser","Lake sockeye",738,"Shuswap-Early Summer (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",739,"Shuswap-Late (cyclic)",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",740,"Kamloops-Early Summer",10.17,-0.08,-58,2009,1440
"Fraser","Lake sockeye",751,"Adams & Momich Lakes-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",752,"North Barriere-Early Summer (de novo)",8.91,-0.15,-82,2009,1440
"Fraser","Lake sockeye",753,"Fraser-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",756,"Alouette-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",757,"Coquitlam-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",758,"Kawkawa-Late",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",759,"Seton-Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",760,"Adams-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",761,"Momich-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Lake sockeye",763,"North Barriere-Early Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Pink (odd)",710,"Fraser River (odd)",16.28,-0.25,-64,2013,1440
"Fraser","River sockeye",742,"Widgeon (river-type)",6.69,-0.11,-71,2009,1440
"Fraser","River sockeye",745,"Harrison River (river-type)",12.7,-0.16,-84,2009,1440
"Fraser","Steelhead",780,"Mid Fraser Summer",6.19,-0.086,-70,2006,1624
"Fraser","Steelhead",781,"Thompson Summer",7.41,-0.11,-81,2006,1624
"Fraser","Steelhead",782,"Lower Fraser Winter",-989898,-989898,-989898,-989898,-989898
"Fraser","Steelhead",783,"Fraser Canyon Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Steelhead",784,"Lower Fraser Summer",-989898,-989898,-989898,-989898,-989898
"Fraser","Steelhead",785,"Boundary Bay Winter",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chinook",320,"Southern Mainland-Georgia Strait (Fall x-1)",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chinook",321,"East Vancouver Island-Goldstream (Fall x-1)",5.64,-0.29,-98,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",322,"East Vancouver Island-Cowichan and Koksilah (Fall x-1)",7.54,0.06,139,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",323,"East Vancouver Island-Nanaimo (Spring x-2)",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chinook",324,"East Vancouver Island-Nanaimo and Chemainus (Fall x-1)",7.47,0.02,31,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",325,"East Vancouver Island-Qualicum and Puntledge (Fall x-1)",10.03,-0.06,-55,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",326,"Southern Mainland-Southern Fjords (Fall x-1)",4.45,0.22,2370,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",327,"East Vancouver Island-North (Fall x-1)",9.41,-0.05,-47,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",328,"West Vancouver Island-South (Fall x-1)",10.94,-0.03,-38,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",329,"West Vancouver Island-Nootka and Kyuquot (Fall x-1)",9.91,0.02,39,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",330,"West Vancouver Island-North (Fall x-1)",7.81,0.01,17,2003,1028
"Vancouver Island & Mainland Inlets","Chinook",331,"Homathko (Summer x-x)",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chinook",332,"Klinaklini (Summer 5-2)",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chinook",334,"East Vancouver Island-Georgia Strait (Summer 4-1)",7.63,-0.03,-37,2003,1028
"Vancouver Island & Mainland Inlets","Chum",900,"Southern Coastal Streams",6.43,0.12,285,2006,1028
"Vancouver Island & Mainland Inlets","Chum",901,"Bute Inlet",-989898,-989898,-989898,-989898,-989898
"Vancouver Island & Mainland Inlets","Chum",902,"Loughborough",9.89,-0.009,-9,2006,1028
"Vancouver Island & Mainland Inlets","Chum",903,"Northeast Vancouver Island",10.16,-0.13,-77,2006,1028
"Vancouver Island & Mainland Inlets","Chum",904,"Georgia Strait",13.3,0,0,2006,1028
"Vancouver Island & Mainland Inlets","Chum",905,"Howe Sound-Burrard Inlet",12.46,0.08,134,2006,1028
"Vancouver Island & Mainland Inlets","Chum",977,"Northwest Vancouver Island",10.55,0.07,122,2006,1028
"Vancouver Island & Mainland Inlets","Chum",978,"Southwest & West Vancouver Island",12.64,-0.05,-45,2006,1028
