YEAR,SOCKEYE,COHO,PINK,CHUM,CHINOOK
1970,26500,24050,432650,24800,800
1971,16500,14335,6050,44500,500
1972,17500,26150,329900,8600,1000
1973,38000,58350,4000,50000,900
1974,39000,97100,201400,41800,1000
1975,16500,47000,3950,53050,1500
1976,40900,153500,285050,53500,700
1977,36750,55400,4900,60300,800
1978,20300,61250,217500,56200,600
1979,20650,34750,3250,32450,400
1980,33200,17140,290795,14768,600
1981,23000,18000,3650,26100,750
1982,28500,35250,362000,70800,1400
1983,19500,20600,2130,35225,600
1984,18500,28850,1213900,52775,300
1985,43200,23700,1875,63800,1500
1986,13500,32900,838500,82500,500
1987,9100,32650,4500,51100,2000
1988,23600,28900,566100,29950,2200
1989,11200,16550,1300,18975,2800
1990,200,10270,1389560,4700,2000
1991,4400,11350,600,1000,1900
1992,12100,8200,994800,6300,2000
1993,500,2500,350,50060,1000
1994,8700,NA,647000,32150,2000
1995,7100,NA,1000,19855,1500
1996,19300,NA,2924000,6725,3000
1997,12000,NA,NA,31050,2500
1998,14000,38400,747200,32100,3000
1999,15550,28000,2700,33000,3200
2000,19200,22600,465000,13520,3600
2001,3900,6674,1,3804,NA
2002,9850,13474,939003,7000,3500
2003,7500,2538,NA,34081,4000
2004,10000,719,177500,4000,NA
2005,5000,1500,NA,1650,NA
2006,27200,NA,250250,18300,NA
2007,8500,NA,NA,1950,NA
2008,9100,NA,607750,600,NA
2009,7500,NA,NA,35520,NA
2010,18025,NA,1135000,200,NA
2011,7000,NA,NA,25400,NA
2012,19050,NA,207200,4000,NA
2013,9000,NA,35000,1000,NA
2014,19800,NA,1030000,NA,NA
2015,NA,NA,NA,NA,NA
2016,10600,NA,250000,8500,NA
2017,12500,NA,NA,2500,NA
2018,6800,NA,553200,5000,NA
2019,5900,NA,NA,14000,NA
2020,7900,NA,802400,NA,NA
2021,6200,NA,NA,NA,NA
2022,24600,NA,844000,NA,NA
