"river","year","infill","neighbour","escapement","pmax"
"artlish_river",2015,NA,NA,1113,NA
"artlish_river",2016,NA,NA,160,NA
"artlish_river",2017,NA,NA,274,NA
"artlish_river",2018,NA,NA,555,NA
"artlish_river",2019,NA,NA,441,NA
"artlish_river",2020,NA,NA,117,NA
"artlish_river",2021,NA,NA,242,NA
"artlish_river",2022,NA,NA,231,NA
"artlish_river",2023,NA,NA,104,NA
"bedwell_ursus",1982,NA,NA,25,NA
"bedwell_ursus",1986,NA,NA,10,NA
"bedwell_ursus",1987,NA,NA,8,NA
"bedwell_ursus",1988,NA,NA,10,NA
"bedwell_ursus",1989,NA,NA,70,NA
"bedwell_ursus",1993,NA,NA,377,NA
"bedwell_ursus",1994,NA,NA,691,NA
"bedwell_ursus",1995,NA,NA,291,NA
"bedwell_ursus",1996,NA,NA,528,NA
"bedwell_ursus",1997,NA,NA,275,NA
"bedwell_ursus",1998,NA,NA,306,NA
"bedwell_ursus",1999,NA,NA,160,NA
"bedwell_ursus",2000,NA,NA,143,NA
"bedwell_ursus",2001,NA,NA,263,NA
"bedwell_ursus",2002,NA,NA,128,NA
"bedwell_ursus",2003,NA,NA,137,NA
"bedwell_ursus",2004,NA,NA,141,NA
"bedwell_ursus",2005,NA,NA,65,NA
"bedwell_ursus",2006,NA,NA,104,NA
"bedwell_ursus",2007,NA,NA,41,NA
"bedwell_ursus",2008,NA,NA,69,NA
"bedwell_ursus",2009,NA,NA,44,NA
"bedwell_ursus",2010,NA,NA,50,NA
"bedwell_ursus",2011,NA,NA,85,NA
"bedwell_ursus",2012,NA,NA,199,NA
"bedwell_ursus",2013,NA,NA,584,NA
"bedwell_ursus",2014,NA,NA,289,NA
"bedwell_ursus",2015,NA,NA,736,NA
"bedwell_ursus",2016,NA,NA,650,NA
"bedwell_ursus",2017,NA,NA,773,NA
"bedwell_ursus",2018,NA,NA,699,NA
"bedwell_ursus",2019,NA,NA,365,NA
"bedwell_ursus",2020,NA,NA,385,NA
"bedwell_ursus",2021,NA,NA,414,NA
"bedwell_ursus",2022,NA,NA,113,NA
"bedwell_ursus",2023,NA,NA,308,NA
"burman_river",1979,NA,NA,650,NA
"burman_river",1980,NA,NA,345,NA
"burman_river",1981,NA,NA,300,NA
"burman_river",1983,NA,NA,475,NA
"burman_river",1984,NA,NA,700,NA
"burman_river",1985,NA,NA,500,NA
"burman_river",1986,NA,NA,400,NA
"burman_river",1987,NA,NA,100,NA
"burman_river",1988,NA,NA,400,NA
"burman_river",1989,NA,NA,700,NA
"burman_river",1990,NA,NA,1100,NA
"burman_river",1991,NA,NA,2500,NA
"burman_river",1992,NA,NA,2000,NA
"burman_river",1993,NA,NA,1750,NA
"burman_river",1994,NA,NA,2200,NA
"burman_river",1995,NA,NA,335,NA
"burman_river",1996,NA,NA,693,NA
"burman_river",1997,NA,NA,2224,NA
"burman_river",1998,NA,NA,3065,NA
"burman_river",1999,NA,NA,2268,NA
"burman_river",2000,NA,NA,149,NA
"burman_river",2001,NA,NA,96,NA
"burman_river",2002,NA,NA,440,NA
"burman_river",2003,NA,NA,571,NA
"burman_river",2004,NA,NA,2389,NA
"burman_river",2005,NA,NA,521,NA
"burman_river",2006,NA,NA,404,NA
"burman_river",2007,NA,NA,158,NA
"burman_river",2008,NA,NA,328,NA
"burman_river",2009,NA,NA,1500,NA
"burman_river",2010,NA,NA,2825,NA
"burman_river",2011,NA,NA,2024,NA
"burman_river",2012,NA,NA,1003,NA
"burman_river",2013,NA,NA,8285,NA
"burman_river",2014,NA,NA,2808,NA
"burman_river",2015,NA,NA,6035,NA
"burman_river",2016,NA,NA,10534,NA
"burman_river",2017,NA,NA,1149,NA
"burman_river",2018,NA,NA,3525,NA
"burman_river",2019,NA,NA,1831,NA
"burman_river",2020,NA,NA,2249,NA
"burman_river",2021,NA,NA,4177,NA
"burman_river",2022,NA,NA,1131,NA
"burman_river",2023,NA,NA,4746,NA
"colonial_cayeghle_creeks",1995,NA,NA,75,NA
"colonial_cayeghle_creeks",1996,NA,NA,70,NA
"colonial_cayeghle_creeks",1997,NA,NA,36,NA
"colonial_cayeghle_creeks",1998,NA,NA,171,NA
"colonial_cayeghle_creeks",1999,NA,NA,883,NA
"colonial_cayeghle_creeks",2000,NA,NA,530,NA
"colonial_cayeghle_creeks",2001,NA,NA,571,NA
"colonial_cayeghle_creeks",2002,NA,NA,383,NA
"colonial_cayeghle_creeks",2003,NA,NA,600,NA
"colonial_cayeghle_creeks",2004,NA,NA,1369,NA
"colonial_cayeghle_creeks",2006,NA,NA,321,NA
"colonial_cayeghle_creeks",2007,NA,NA,168,NA
"colonial_cayeghle_creeks",2008,NA,NA,155,NA
"colonial_cayeghle_creeks",2009,NA,NA,630,NA
"colonial_cayeghle_creeks",2010,NA,NA,520,NA
"colonial_cayeghle_creeks",2011,NA,NA,409,NA
"colonial_cayeghle_creeks",2012,NA,NA,93,NA
"colonial_cayeghle_creeks",2013,NA,NA,98,NA
"colonial_cayeghle_creeks",2014,NA,NA,348,NA
"colonial_cayeghle_creeks",2015,NA,NA,586,NA
"colonial_cayeghle_creeks",2016,NA,NA,398,NA
"colonial_cayeghle_creeks",2017,NA,NA,793,NA
"colonial_cayeghle_creeks",2018,NA,NA,270,NA
"colonial_cayeghle_creeks",2019,NA,NA,708,NA
"colonial_cayeghle_creeks",2020,NA,NA,188,NA
"colonial_cayeghle_creeks",2021,NA,NA,319,NA
"colonial_cayeghle_creeks",2022,NA,NA,121,NA
"colonial_cayeghle_creeks",2023,NA,NA,382,NA
"gold_river_aggregate",1979,NA,NA,803,NA
"gold_river_aggregate",1980,NA,NA,750,NA
"gold_river_aggregate",1981,NA,NA,620,NA
"gold_river_aggregate",1982,NA,NA,1000,NA
"gold_river_aggregate",1983,NA,NA,1500,NA
"gold_river_aggregate",1984,NA,NA,1500,NA
"gold_river_aggregate",1985,NA,NA,1500,NA
"gold_river_aggregate",1986,NA,NA,1900,NA
"gold_river_aggregate",1987,NA,NA,600,NA
"gold_river_aggregate",1988,NA,NA,1000,NA
"gold_river_aggregate",1989,NA,NA,1000,NA
"gold_river_aggregate",1990,NA,NA,1952,NA
"gold_river_aggregate",1991,NA,NA,1000,NA
"gold_river_aggregate",1992,NA,NA,2500,NA
"gold_river_aggregate",1993,NA,NA,1700,NA
"gold_river_aggregate",1994,NA,NA,3500,NA
"gold_river_aggregate",1995,NA,NA,750,NA
"gold_river_aggregate",1996,NA,NA,914,NA
"gold_river_aggregate",1997,NA,NA,1874,NA
"gold_river_aggregate",1998,NA,NA,9251,NA
"gold_river_aggregate",1999,NA,NA,5038,NA
"gold_river_aggregate",2000,NA,NA,500,NA
"gold_river_aggregate",2001,NA,NA,276,NA
"gold_river_aggregate",2002,NA,NA,12728,NA
"gold_river_aggregate",2003,NA,NA,14656,NA
"gold_river_aggregate",2004,NA,NA,3205,NA
"gold_river_aggregate",2005,NA,NA,1000,NA
"gold_river_aggregate",2008,NA,NA,2,NA
"gold_river_aggregate",2010,NA,NA,21,NA
"gold_river_aggregate",2011,NA,NA,919,NA
"gold_river_aggregate",2012,NA,NA,800,NA
"gold_river_aggregate",2013,NA,NA,1580,NA
"gold_river_aggregate",2014,NA,NA,2500,NA
"gold_river_aggregate",2015,NA,NA,915,NA
"gold_river_aggregate",2016,NA,NA,2159,NA
"gold_river_aggregate",2017,NA,NA,1542,NA
"gold_river_aggregate",2018,NA,NA,1556,NA
"gold_river_aggregate",2019,NA,NA,1839,NA
"gold_river_aggregate",2020,NA,NA,8696,NA
"gold_river_aggregate",2021,NA,NA,5690,NA
"gold_river_aggregate",2022,NA,NA,6944,NA
"gold_river_aggregate",2023,NA,NA,11510,NA
"kaouk_river",1979,NA,NA,60,NA
"kaouk_river",1981,NA,NA,100,NA
"kaouk_river",1983,NA,NA,300,NA
"kaouk_river",1984,NA,NA,400,NA
"kaouk_river",1985,NA,NA,300,NA
"kaouk_river",1986,NA,NA,100,NA
"kaouk_river",1987,NA,NA,100,NA
"kaouk_river",1989,NA,NA,30,NA
"kaouk_river",1990,NA,NA,10,NA
"kaouk_river",1991,NA,NA,20,NA
"kaouk_river",1993,NA,NA,20,NA
"kaouk_river",1994,NA,NA,150,NA
