"Year","Management Group","Spawning Escapement","Run Size Adjustment (RSA)","U.S. Catch","Canada Catch","Total Catch","Run Size","In-season Run Size"
1936,"Total Fraser",590000,0,NA,NA,3045000,3635000,NA
1937,"Total Fraser",680000,0,NA,NA,2628000,3308000,NA
1938,"Total Fraser",888595,0,NA,NA,3500000,4388595,NA
1939,"Total Fraser",157769,0,NA,NA,1458000,1615769,NA
1940,"Total Fraser",552541,0,NA,NA,2187000,2739541,NA
1941,"Total Fraser",541607,0,NA,NA,4303000,4844607,NA
1942,"Total Fraser",2884594,0,NA,NA,8765000,11649594,NA
1943,"Total Fraser",242724,0,NA,NA,724000,966724,NA
1944,"Total Fraser",315961,0,NA,NA,1574000,1889961,NA
1945,"Total Fraser",554383,0,NA,NA,1813000,2367383,NA
1946,"Total Fraser",2916311,0,NA,NA,8211635,11127946,NA
1947,"Total Fraser",650116,0,NA,NA,674530,1324646,NA
1948,"Total Fraser",1015790,0,NA,NA,2052047,3067837,NA
1949,"Total Fraser",1087887,0,NA,NA,2471353,3559240,NA
1950,"Total Fraser",1791496,0,NA,NA,2559148,4350644,NA
1951,"Total Fraser",606262,0,NA,NA,2802000,3408262,NA
1952,"Total Fraser",846574,0,NA,NA,2278667,3125241,NA
1953,"Total Fraser",1295154,0,NA,NA,4069651,5364805,NA
1954,"Total Fraser",2447802,0,NA,NA,9553877,12001679,NA
1955,"Total Fraser",383266,17486,NA,NA,2278817,2679569,NA
1956,"Total Fraser",873031,0,NA,NA,1965473,2838504,NA
1957,"Total Fraser",1661868,0,NA,NA,3194936,4856804,NA
1958,"Total Fraser",2861090,0,NA,NA,14792631,17653721,NA
1959,"Total Fraser",949405,0,NA,NA,3667917,4617322,NA
1960,"Total Fraser",628067,20660,NA,NA,2763355,3412082,NA
1961,"Total Fraser",1250087,0,NA,NA,3364994,4615081,NA
1962,"Total Fraser",1624004,0,NA,NA,1825786,3449790,NA
1963,"Total Fraser",1601559,0,NA,NA,2334896,3936455,NA
1964,"Total Fraser",426597,29616,NA,NA,1217819,1674032,NA
1965,"Total Fraser",852269,0,NA,NA,2243572,3095841,NA
1966,"Total Fraser",1919286,0,NA,NA,3387882,5307168,NA
1967,"Total Fraser",1353640,0,NA,NA,5138126,6491766,NA
1968,"Total Fraser",626706,0,NA,NA,2267912,2894618,NA
1969,"Total Fraser",1001140,0,NA,NA,3762039,4763179,NA
1970,"Total Fraser",1943221,0,NA,NA,4043482,5986703,NA
1971,"Total Fraser",759846,0,NA,NA,6852036,7611882,NA
1972,"Total Fraser",830128,0,NA,NA,2828263,3658391,NA
1973,"Total Fraser",1181093,0,NA,NA,5505498,6686591,NA
1974,"Total Fraser",1757489,0,NA,NA,6744474,8501963,NA
1975,"Total Fraser",990729,14997,NA,NA,2629652,3635378,NA
1976,"Total Fraser",823453,0,NA,NA,3484527,4307980,NA
1977,"Total Fraser",1113453,233110,1775299,3033571,4808871,6155434,NA
1978,"Total Fraser",2514318,-98473,1361248,5580487,6941735,9357580,NA
1979,"Total Fraser",1407828,172779,1769970,3261679,5031650,6612257,NA
1980,"Total Fraser",848320,221920,464740,1711540,2176281,3246521,NA
1981,"Total Fraser",1451249,369101,1288386,5046237,6334623,8154973,NA
1982,"Total Fraser",4023350,71516,2866812,7085950,9952762,14047628,NA
1983,"Total Fraser",975901,100448,458287,3726758,4185045,5261394,NA
1984,"Total Fraser",931671,126500,1640251,3348507,4988759,6046930,NA
1985,"Total Fraser",2141613,-93993,2882787,8719708,11602496,13650116,NA
1986,"Total Fraser",3717444,920032,2794117,9446763,12240881,16878357,NA
1987,"Total Fraser",1914743,-175971,1935200,3784113,5719313,7458085,NA
1988,"Total Fraser",1418275,-9200,682258,1665669,2347927,3757002,NA
1989,"Total Fraser",3111718,100634,2451271,13008251,15459522,18671874,NA
1990,"Total Fraser",6084832,-460011,2432841,13147679,15580521,21205342,NA
1991,"Total Fraser",3341463,246943,1890333,6066378,7956711,11545117,NA
1992,"Total Fraser",1120656,343891,689053,4219152,4908206,6372753,NA
1993,"Total Fraser",6228096,-1342757,2884404,14978638,17863043,22748382,NA
1994,"Total Fraser",3103636,330747,2080434,11289875,13370309,16804692,NA
1995,"Total Fraser",1757009,-107997,436890,1717799,2154690,3803702,NA
1996,"Total Fraser",2056236,72714,310211,1889691,2199902,4328852,NA
1997,"Total Fraser",4262269,836485,1588166,9870324,11458490,16557244,NA
1998,"Total Fraser",4427679,3319866,707373,2414663,3122036,10869581,NA
