to,Indicator,sppqualifiedid,geofeatureid,streamname,cuid
8797,N,NA,NA,SHUSWAP LAKE MAIN ARM - NORTH SHORE,739
8798,N,NA,NA,SHUSWAP LAKE MAIN ARM - SOUTH SHORE,739
8799,N,NA,NA,SHUSWAP LAKE SALMON ARM - EAST SHORE,739
8800,N,NA,NA,SHUSWAP LAKE ANSTEY ARM,739
8801,N,NA,NA,SHUSWAP LAKE MAIN ARM,739
8802,N,NA,NA,SHUSWAP LAKE SALMON ARM,739
8803,N,NA,NA,SHUSWAP LAKE SALMON ARM - NORTH SHORE,739
8804,N,NA,NA,SHUSWAP LAKE SALMON ARM - SOUTH SHORE,739
8805,N,NA,NA,SHUSWAP LAKE  SEYMOUR ARM,739
8549,NA,NA,NA,SHUSWAP R HATCHERY,710
8029,Y,NA,NA,SHUSWAP RIVER - LOWER,315
8456,N,NA,NA,SHUSWAP RIVER - LOWER,708
8550,N,NA,NA,SHUSWAP RIVER - LOWER,710
8806,N,NA,NA,SHUSWAP RIVER - LOWER,739
8030,Y,NA,NA,SHUSWAP RIVER - MIDDLE,315
8457,Y,NA,NA,SHUSWAP RIVER - MIDDLE,708
8787,N,NA,NA,SHUSWAP RIVER - MIDDLE,738
8807,Y,NA,NA,SHUSWAP RIVER - MIDDLE,739
8808,N,NA,NA,SICAMOUS CREEK,739
8097,N,NA,NA,SIDDALL CREEK,701
8334,N,NA,NA,SIDDALL CREEK,750
8901,Y,NA,NA,SIDNEY CREEK,732
8098,N,NA,NA,SILVERDALE CREEK,701
8335,N,NA,NA,SILVERDALE CREEK,750
8551,N,NA,NA,SILVERDALE CREEK,710
8203,N,NA,NA,SILVERHOPE CREEK,705
8552,Y,NA,NA,SILVERHOPE CREEK,710
8458,N,NA,NA,SINMAX CREEK,708
8788,N,NA,NA,SINMAX CREEK,738
8809,Y,NA,NA,SINMAX CREEK,739
8810,N,NA,NA,SINMAX CREEK - SHORE,739
8902,N,NA,NA,SINTA CREEK,732
8553,NA,NA,NA,SKWAWOLT CREEK,710
8748,N,NA,NA,SLATE BAY,728
8749,N,NA,NA,SLATE BAY - SHORE 1KM E,728
8099,N,NA,NA,SLESSE CREEK,701
8336,N,NA,NA,SLESSE CREEK,750
8554,N,NA,NA,SLESSE CREEK,710
8070,Y,NA,NA,SLIM CREEK,312
7930,N,NA,NA,SLOQUET CREEK,306
8100,N,NA,NA,SLOQUET CREEK,701
8253,N,NA,NA,SLOQUET CREEK,704
8555,N,NA,NA,SLOQUET CREEK,710
8622,N,NA,NA,SLOQUET CREEK,713
8667,N,NA,NA,SLOUGH CREEK,715
8071,N,NA,NA,SMALL CREEK,312
7976,NA,NA,NA,SNAKING RIVER,310
8254,NA,NA,NA,SNOWCAP CREEK,704
8072,N,NA,NA,SNOWSHOE CREEK,312
8668,N,NA,NA,SOUTH BOISE CREEK,715
8459,N,NA,NA,SOUTH PASS CREEK,708
8042,Y,NA,NA,SOUTH THOMPSON RIVER,313
8556,N,NA,NA,SOUTH THOMPSON RIVER,710
8811,Y,NA,NA,SOUTH THOMPSON RIVER,739
7977,NA,NA,NA,SOWCHEA CREEK,310
8915,N,NA,NA,SOWCHEA CREEK,731
8073,N,NA,NA,SPAKWANIKO CREEK,312
7944,Y,NA,NA,SPIUS CREEK,317
8380,N,NA,NA,SPIUS CREEK,707
7945,NA,NA,NA,SPIUS CREEK - UPPER,317
8592,,NA,NA,SPRUCE CREEK,719
8750,N,NA,NA,SPUSKS CREEK,728
8751,NA,NA,NA,SPUSKS CREEK - SHORE,728
8557,N,NA,NA,SPUZZUM CREEK,710
8101,Y,NA,NA,SQUAWKUM CREEK,701
8337,N,NA,NA,SQUAWKUM CREEK,750
8558,N,NA,NA,SQUAWKUM CREEK,710
8102,Y,NA,NA,STAVE RIVER,701
8338,N,NA,NA,STAVE RIVER,750
8559,N,NA,NA,STAVE RIVER,710
8103,N,NA,NA,STEELHEAD CREEK,701
8339,N,NA,NA,STEELHEAD CREEK,750
8560,N,NA,NA,STEELHEAD CREEK,710
8628,N,NA,NA,STEELHEAD CREEK,714
7978,N,NA,NA,STEIN RIVER,310
8228,N,NA,NA,STEIN RIVER,749
8561,N,NA,NA,STEIN RIVER,710
8008,N,NA,NA,STELLAKO RIVER,311
8611,Y,NA,NA,STELLAKO RIVER,725
8204,N,NA,NA,STEVEN CREEK,705
8340,N,NA,NA,STEWART SLOUGH,750
8341,N,NA,NA,STOKKE CREEK,750
7979,NA,NA,NA,STONE CREEK,310
8342,N,NA,NA,STONEY CREEK,750
8562,N,NA,NA,STOYOMA CREEK,710
8104,N,NA,NA,STREET CREEK,701
8343,N,NA,NA,STREET CREEK,750
8916,N,NA,NA,STUART LAKE,731
8009,N,NA,NA,STUART RIVER,311
8917,N,NA,NA,STUART RIVER,731
8205,N,NA,NA,SUCKER CREEK,705
8563,N,NA,NA,SUCKER CREEK,710
8752,N,NA,NA,SUE CREEK,728
8105,N,NA,NA,SUMAS RIVER,701
8344,N,NA,NA,SUMAS RIVER,750
8229,N,NA,NA,SUMMIT CREEK,749
8753,N,NA,NA,SUMMIT CREEK,728
8074,N,NA,NA,SUS CREEK,312
8612,N,NA,NA,SWEETNAM CREEK,725
8106,N,NA,NA,SWELTZER RIVER,701
8345,N,NA,NA,SWELTZER RIVER,750
8564,Y,NA,NA,SWELTZER RIVER,710
8075,Y,NA,NA,SWIFT CREEK,312
7980,Y,NA,NA,SWIFT RIVER,310
8010,N,NA,NA,TACHIE RIVER,311
8918,Y,NA,NA,TACHIE RIVER,731
8653,,NA,NA,TAILLEFER CREEK,716
8919,N,NA,NA,TAKLA LAKE,731
8903,N,NA,NA,TAKLA LAKE - UNNAMED CREEK (NORTH OF BLANCHETTE),732
8904,N,NA,NA,TAKLA - SHORE,732
8754,N,NA,NA,TAKU CREEK,728
8107,N,NA,NA,TAMIHI CREEK,701
8346,N,NA,NA,TAMIHI CREEK,750
8565,N,NA,NA,TAMIHI CREEK,710
8043,N,NA,NA,TAPPEN CREEK,313
8460,N,NA,NA,TAPPEN CREEK,708
8812,N,NA,NA,TAPPEN CREEK,739
7981,N,NA,NA,TASEKO LAKES,310
8923,Y,NA,NA,TASEKO LAKES,734
8011,N,NA,NA,TASEKO RIVER,311
8230,N,NA,NA,TASEKO RIVER,749
8924,N,NA,NA,TASEKO RIVER,734
7982,NA,NA,NA,TASEKO RIVER - UPPER,310
8755,N,NA,NA,TASSE CREEK,728
8756,N,NA,NA,TASSE CREEK - LAKE SHORE,728
7983,NA,NA,NA,TCHAIKAZAN RIVER,310
8566,N,NA,NA,TEXAS CREEK,710
8567,Y,NA,NA,THOMPSON RIVER,710
8044,N,NA,NA,THOMPSON RIVER BELOW KAMLOOPS LAKE,313
8021,NA,NA,NA,THUNDER RIVER,318
8418,N,NA,NA,THUNDER RIVER,709
8108,N,NA,NA,THURSTON CREEK,701
8347,N,NA,NA,THURSTON CREEK,750
8905,N,NA,NA,TILDESLEY CREEK,732
7931,N,NA,NA,TIPELLA CREEK,306
8109,N,NA,NA,TIPELLA CREEK,701
8348,N,NA,NA,TIPELLA CREEK,750
8623,N,NA,NA,TIPELLA CREEK,713
8757,N,NA,NA,TISDALL CREEK,728
8906,N,NA,NA,TLITI CREEK,732
8076,Y,NA,NA,TORPY RIVER,312
8381,N,NA,NA,TRANQUILLE RIVER,707
8758,N,NA,NA,TRICKLE CREEK,728
8461,N,NA,NA,TRINITY CREEK,708
8813,N,NA,NA,TRINITY CREEK,739
8184,N,NA,NA,TROUT LAKE CREEK,701
8349,N,NA,NA,TROUT LAKE CREEK,750
8568,N,NA,NA,TROUT LAKE CREEK,710
8624,N,NA,NA,TROUT LAKE CREEK,713
8814,NA,NA,NA,TSIKWUSTUM CREEK,739
8462,N,NA,NA,TSUIUS CREEK,708
8815,N,NA,NA,TSUIUS CREEK,739
8816,N,NA,NA,TSUIUS CREEK - SHORE,739
8419,Y,NA,NA,TUMTUM CREEK,709
8185,N,NA,NA,TWENTY MILE CREEK,701
8350,N,NA,NA,TWENTY MILE CREEK,750
8625,N,NA,NA,TWENTY MILE CREEK,713
8077,N,NA,NA,TWIN CREEKS (COMBINED),312
8613,N,NA,NA,UNCHA CREEK,725
8789,N,NA,NA,UNNAMED CREEK,738
8759,N,NA,NA,UNNAMED CREEK #2 - SHORE,728
8569,NA,NA,NA,UNNAMED CREEK NEAR SQUEAH LAKE,710
8790,N,NA,NA,UNNAMED CREEK - SHORE SPAWNERS,738
8760,N,NA,NA,UNNAMED POINT,728
8255,NA,NA,NA,UNNAMED-W SIDE LITTLE LILLOOET LAKE,704
8570,N,NA,NA,UPPER and  LOWER SETON CHANNELS,710
8669,N,NA,NA,UPPER PITT CHANNEL,715
8351,N,NA,NA,USHER CHANNEL,750
8907,Y,NA,NA,VAN DECAR CREEK,732
8817,N,NA,NA,VANISHING CREEK - SHORE,739
7984,NA,NA,NA,VICTORIA CREEK,310
8186,N,NA,NA,WADES CREEK,701
8571,NA,NA,NA,WADES CREEK,710
8187,N,NA,NA,WAHLEACH CREEK,701
8352,N,NA,NA,WAHLEACH CREEK,750
8572,N,NA,NA,WAHLEACH CREEK,710
8188,N,NA,NA,WAHLEACH SLOUGH,701
8078,Y,NA,NA,WALKER CREEK,312
8079,N,NA,NA,WANSA CREEK,312
8031,N,NA,NA,WAP CREEK,315
8463,Y,NA,NA,WAP CREEK,708
8818,N,NA,NA,WAP CREEK,739
8761,N,NA,NA,WASKO CREEK - SHORE,728
8762,N,NA,NA,WASKO CREEK - LOWER,728
8763,N,NA,NA,WASKO CREEK - UPPER,728
8573,N,NA,NA,WATSON BAR CREEK,710
8764,N,NA,NA,WATT CREEK,728
8765,N,NA,NA,WATT CREEK - SHORE,728
8574,N,NA,NA,WEAVER CHANNEL,710
8629,N,NA,NA,WEAVER CHANNEL,714
8189,N,NA,NA,WEAVER CREEK,701
8353,N,NA,NA,WEAVER CREEK,750
8575,N,NA,NA,WEAVER CREEK,710
8630,Y,NA,NA,WEAVER CREEK,714
8190,N,NA,NA,WEST CREEK,701
8354,N,NA,NA,WEST CREEK,750
7985,Y,NA,NA,WEST ROAD (BLACKWATER) RIVER,310
8231,N,NA,NA,WEST ROAD (BLACKWATER) RIVER,749
8080,Y,NA,NA,WEST TWIN CREEK,312
8766,N,NA,NA,WHIFFLE CREEK,728
8191,N,NA,NA,WHONNOCK CREEK,701
8355,N,NA,NA,WHONNOCK CREEK,750
8576,N,NA,NA,WHONNOCK CREEK,710
8192,N,NA,NA,WIDGEON CREEK,701
8356,N,NA,NA,WIDGEON CREEK,750
8577,N,NA,NA,WIDGEON CREEK,710
8928,Y,NA,NA,WIDGEON CREEK,742
8929,,NA,NA,WIDGEON SLOUGH,742
8232,N,NA,NA,WILLIAMS LAKE RIVER,749
8578,N,NA,NA,WILLIAMS LAKE RIVER,710
8081,Y,NA,NA,WILLOW RIVER,312
8579,NA,NA,NA,WILLOW RIVER,710
8420,N,NA,NA,WIRE CACHE CREEK,709
8193,N,NA,NA,WORTH CREEK,701
8357,N,NA,NA,WORTH CREEK,750
8464,N,NA,NA,WRIGHT CREEK,708
7986,N,NA,NA,YALAKOM RIVER,310
8580,N,NA,NA,YALAKOM RIVER,710
8581,N,NA,NA,YALE CREEK,710
8465,N,NA,NA,YARD CREEK,708
8791,N,NA,NA,YARD CREEK,738
8819,N,NA,NA,YARD CREEK,739
7987,NA,NA,NA,YOHETTA CREEK,310
8925,N,NA,NA,YOHETTA CREEK,734
8926,N,NA,NA,YOHETTA CREEK - UPPER,734
8194,N,NA,NA,YORKSON CREEK,701
8358,N,NA,NA,YORKSON CREEK,750
