"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",942,"Schoen","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",943,"Shushartie","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",969,"Sproat","good"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",935,"Tzoonie","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",976,"Vernon","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",970,"William-Brink","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",944,"Woss","data-deficient"
"Vancouver Island & Mainland Inlets","Pink (even)","Pink",917,"Georgia Strait (even)","fair"
"Vancouver Island & Mainland Inlets","Pink (even)","Pink",919,"Northwest Vancouver Island (even)","data-deficient"
"Vancouver Island & Mainland Inlets","Pink (even)","Pink",920,"Southern Fjords (even)","fair"
"Vancouver Island & Mainland Inlets","Pink (even)","Pink",918,"West Vancouver Island (even)","data-deficient"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",921,"East Howe Sound-Burrard Inlet (odd)","poor"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",923,"East Vancouver Island-Johnstone Strait (odd)","good"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",922,"Georgia Strait (odd)","fair"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",924,"Nahwitti (odd)","poor"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",926,"Southern Fjords (odd)","poor"
"Vancouver Island & Mainland Inlets","Pink (odd)","Pink",925,"West Vancouver Island (odd)","data-deficient"
"Vancouver Island & Mainland Inlets","River sockeye","Sockeye",973,"East Vancouver Island & Georgia Strait (river-type)","data-deficient"
"Vancouver Island & Mainland Inlets","River sockeye","Sockeye",974,"NW Vancouver Island (river-type)","data-deficient"
"Vancouver Island & Mainland Inlets","River sockeye","Sockeye",971,"Southern Fjords (river-type)","data-deficient"
"Vancouver Island & Mainland Inlets","River sockeye","Sockeye",972,"West Vancouver Island (river-type)","data-deficient"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",985,"East Vancouver Island Summer","poor"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",981,"East Vancouver Island Winter","poor"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",983,"South Coast Summer","data-deficient"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",980,"South Coast Winter","data-deficient"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",984,"West Vancouver Island Summer","poor"
"Vancouver Island & Mainland Inlets","Steelhead","Steelhead",982,"West Vancouver Island Winter","data-deficient"
"Haida Gwaii","Chinook","Chinook",806,"East Haida Gwaii","data-deficient"
"Haida Gwaii","Chinook","Chinook",805,"North Haida Gwaii","data-deficient"
"Haida Gwaii","Chum","Chum",801,"East Haida Gwaii","poor"
"Haida Gwaii","Chum","Chum",802,"North Haida Gwaii","poor"
"Haida Gwaii","Chum","Chum",800,"North Haida Gwaii-Stanley Creek","data-deficient"
"Haida Gwaii","Chum","Chum",804,"Skidegate","fair"
"Haida Gwaii","Chum","Chum",803,"West Haida Gwaii","fair"
"Haida Gwaii","Coho","Coho",807,"East Haida Gwaii","poor"
"Haida Gwaii","Coho","Coho",809,"Haida Gwaii-Graham Island Lowlands","fair"
"Haida Gwaii","Coho","Coho",808,"West Haida Gwaii","good"
"Haida Gwaii","Lake sockeye","Sockeye",819,"Ain-Skundale-Ian","data-deficient"
"Haida Gwaii","Lake sockeye","Sockeye",820,"Awun","good"
"Haida Gwaii","Lake sockeye","Sockeye",821,"Fairfax","data-deficient"
"Haida Gwaii","Lake sockeye","Sockeye",822,"Jalun","data-deficient"
"Haida Gwaii","Lake sockeye","Sockeye",823,"Marian/Eden","poor"
"Haida Gwaii","Lake sockeye","Sockeye",828,"Marie","data-deficient"
"Haida Gwaii","Lake sockeye","Sockeye",824,"Mathers","data-deficient"
"Haida Gwaii","Lake sockeye","Sockeye",825,"Mercer","good"
"Haida Gwaii","Lake sockeye","Sockeye",826,"Skidegate","good"
"Haida Gwaii","Lake sockeye","Sockeye",827,"Yakoun","poor"
"Haida Gwaii","Pink (even)","Pink",811,"East Haida Gwaii (even)","good"
"Haida Gwaii","Pink (even)","Pink",810,"North Haida Gwaii (even)","good"
"Haida Gwaii","Pink (even)","Pink",812,"West Haida Gwaii (even)","poor"
"Haida Gwaii","Pink (odd)","Pink",813,"East Haida Gwaii (odd)","good"
"Haida Gwaii","Pink (odd)","Pink",814,"North Haida Gwaii (odd)","data-deficient"
"Haida Gwaii","Pink (odd)","Pink",815,"West Haida Gwaii (odd)","data-deficient"
"Haida Gwaii","River sockeye","Sockeye",816,"East Haida Gwaii (river-type)","data-deficient"
"Haida Gwaii","River sockeye","Sockeye",817,"North Haida Gwaii (river-type)","data-deficient"
"Haida Gwaii","River sockeye","Sockeye",818,"West Haida Gwaii (river-type)","data-deficient"
"Haida Gwaii","Steelhead","Steelhead",880,"Haida Gwaii Winter","data-deficient"
"Columbia","Chinook","Chinook",301,"Okanagan","data-deficient"
"Columbia","Lake sockeye","Sockeye",1300,"Osoyoos","good"
"Columbia","Steelhead","Steelhead",1380,"Mid Columbia Summer","data-deficient"
"Yukon","Chinook","Chinook",1201,"Big Salmon","good"
"Yukon","Chinook","Chinook",1204,"Middle Yukon","good"
"Yukon","Chinook","Chinook",1202,"Nordenskiold","data-deficient"
"Yukon","Chinook","Chinook",1207,"Northern Yukon","good"
"Yukon","Chinook","Chinook",1210,"Old Crow","data-deficient"
"Yukon","Chinook","Chinook",1203,"Pelly","good"
"Yukon","Chinook","Chinook",1209,"Porcupine","data-deficient"
"Yukon","Chinook","Chinook",1208,"Salmon Fork","data-deficient"
"Yukon","Chinook","Chinook",1205,"Stewart","good"
"Yukon","Chinook","Chinook",1212,"Teslin","good"
"Yukon","Chinook","Chinook",1211,"Upper Yukon","good"
"Yukon","Chinook","Chinook",1206,"White","good"
"Yukon","Chum","Chum",1216,"Donjek Kluane","data-deficient"
"Yukon","Chum","Chum",1213,"Middle Yukon","data-deficient"
"Yukon","Chum","Chum",1214,"North Yukon","data-deficient"
"Yukon","Chum","Chum",1217,"Porcupine","data-deficient"
"Yukon","Chum","Chum",1218,"Stewart","data-deficient"
"Yukon","Chum","Chum",1219,"Teslin","data-deficient"
"Yukon","Chum","Chum",1215,"White","data-deficient"
"Yukon","Coho","Coho",1220,"Porcupine","data-deficient"
"Transboundary","Chinook","Chinook",1004,"Alsek","poor"
"Transboundary","Chinook","Chinook",1005,"Lynn Canal","data-deficient"
"Transboundary","Chinook","Chinook",1010,"Stikine-Early Timing","data-deficient"
"Transboundary","Chinook","Chinook",1011,"Stikine-Late Timing","data-deficient"
"Transboundary","Chinook","Chinook",1006,"Taku-Early Timing","data-deficient"
"Transboundary","Chinook","Chinook",1008,"Taku-Late Timing","data-deficient"
"Transboundary","Chinook","Chinook",1007,"Taku-Mid Timing","data-deficient"
"Transboundary","Chinook","Chinook",1012,"Unuk","data-deficient"
"Transboundary","Chinook","Chinook",1009,"Whiting","data-deficient"
"Transboundary","Chum","Chum",1032,"Lower Stikine","data-deficient"
"Transboundary","Chum","Chum",1000,"Lynn Canal","data-deficient"
"Transboundary","Chum","Chum",1001,"Taku","data-deficient"
"Transboundary","Chum","Chum",1003,"Unuk","data-deficient"
"Transboundary","Chum","Chum",1002,"Whiting","data-deficient"
"Transboundary","Coho","Coho",1013,"Alsek","data-deficient"
"Transboundary","Coho","Coho",1017,"Lower Stikine","data-deficient"
"Transboundary","Coho","Coho",1014,"Lynn Canal","data-deficient"
"Transboundary","Coho","Coho",1034,"Taku-Early Timing","data-deficient"
"Transboundary","Coho","Coho",1015,"Taku-Late Timing","data-deficient"
"Transboundary","Coho","Coho",1035,"Taku-Mid Timing","data-deficient"
"Transboundary","Coho","Coho",1018,"Unuk","data-deficient"
"Transboundary","Coho","Coho",1016,"Whiting","data-deficient"
"Transboundary","Lake sockeye","Sockeye",1031,"Blanchard","data-deficient"
"Transboundary","Lake sockeye","Sockeye",1024,"Border","data-deficient"
"Transboundary","Lake sockeye","Sockeye",1025,"Christina","data-deficient"
"Transboundary","Lake sockeye","Sockeye",1036,"Chutine","data-deficient"
"Transboundary","Lake sockeye","Sockeye",1033,"King Salmon","good"
"Transboundary","Lake sockeye","Sockeye",1038,"Klukshu","fair"
"Transboundary","Lake sockeye","Sockeye",1027,"Kuthai","poor"
"Transboundary","Lake sockeye","Sockeye",1028,"Little Trapper","fair"
"Transboundary","Lake sockeye","Sockeye",1039,"Nesketahin","poor"
"Transboundary","Lake sockeye","Sockeye",1026,"Tahltan","fair"
"Transboundary","Lake sockeye","Sockeye",1029,"Tatsamenie","good"
"Transboundary","Lake sockeye","Sockeye",1037,"Whiting","data-deficient"
"Transboundary","Pink (even)","Pink",1019,"Transboundary Fjords (even)","data-deficient"
"Transboundary","Pink (odd)","Pink",1020,"Transboundary Fjords (odd)","data-deficient"
"Transboundary","River sockeye","Sockeye",1021,"Alsek (river-type)","data-deficient"
"Transboundary","River sockeye","Sockeye",1022,"Chilkat (river-type)","data-deficient"
"Transboundary","River sockeye","Sockeye",1023,"Northern Transboundary Fjords (river-type)","data-deficient"
"Transboundary","Steelhead","Steelhead",1080,"Alsek Summer","data-deficient"
"Transboundary","Steelhead","Steelhead",1083,"Stikine Summer","data-deficient"
"Transboundary","Steelhead","Steelhead",1084,"Stikine Winter","data-deficient"
"Transboundary","Steelhead","Steelhead",1081,"Taku Summer","data-deficient"
"Transboundary","Steelhead","Steelhead",1082,"Taku Winter","data-deficient"
