ReturnYear,ConservationUnit,Total.Prefishery.Abundance,Total.Return,Natural.Returns,Hatchery Returns
1989,North Thompson,70125,24882,23480,1402
1990,North Thompson,68078,17935,16939,996
1991,North Thompson,37957,12243,10639,1604
1992,North Thompson,85939,15929,14839,1090
1993,North Thompson,54413,6774,6438,336
1994,North Thompson,26876,15230,14364,866
1995,North Thompson,29147,12778,12535,243
1996,North Thompson,36396,6007,5915,92
1997,North Thompson,14659,8724,8030,694
1998,North Thompson,10681,9928,9455,473
1999,North Thompson,11944,10866,10654,212
2000,North Thompson,8527,8224,6634,1590
2001,North Thompson,29502,27408,25596,1811
2002,North Thompson,24091,22207,19722,2485
2003,North Thompson,8479,7384,6828,556
2004,North Thompson,12419,10787,10338,450
2005,North Thompson,5375,4677,4540,137
2006,North Thompson,4179,3786,3779,7
2007,North Thompson,27817,24702,24391,311
2008,North Thompson,4358,3931,3731,200
2009,North Thompson,11016,9749,9320,429
2010,North Thompson,13730,12301,11800,501
2011,North Thompson,10144,8870,8412,457
2012,North Thompson,22661,20124,19526,598
2013,North Thompson,19523,16357,15937,420
2014,North Thompson,7908,5393,5325,68
2015,North Thompson,3999,3287,3218,69
2016,North Thompson,18290,16955,16845,109
2017,North Thompson,13334,12040,11904,136
2018,North Thompson,13607,11531,11322,209
2019,North Thompson,19792,15497,15254,243
2020,North Thompson,30568,26380,26029,351
2021,North Thompson,32351,29278,28445,833
2022,North Thompson,22552,19177,18805,372
1984,South Thompson,53040,16946,16946,0
1985,South Thompson,57260,18294,18294,0
1986,South Thompson,51929,17804,16786,1018
1987,South Thompson,52358,24231,17131,7100
1988,South Thompson,99478,28653,23949,4704
1989,South Thompson,55560,19714,15194,4520
1990,South Thompson,42222,11123,8406,2718
1991,South Thompson,15993,5158,3179,1979
1992,South Thompson,76315,14145,11885,2260
1993,South Thompson,21969,2735,1949,786
1994,South Thompson,8736,4950,4074,876
1995,South Thompson,9588,4203,3133,1070
1996,South Thompson,8665,1430,1368,62
1997,South Thompson,2443,1454,1438,16
1998,South Thompson,5735,5331,5280,51
1999,South Thompson,3700,3366,3310,56
2000,South Thompson,3569,3443,3385,58
2001,South Thompson,14306,13290,11744,1546
2002,South Thompson,11631,10722,9151,1571
2003,South Thompson,3979,3466,3223,242
2004,South Thompson,18536,16100,15485,615
2005,South Thompson,2881,2507,2136,371
2006,South Thompson,2232,2022,2019,3
2007,South Thompson,14079,12494,11784,710
2008,South Thompson,7646,6897,6521,375
2009,South Thompson,4427,3918,3743,175
2010,South Thompson,10216,9119,8505,614
2011,South Thompson,5726,5005,3900,1105
2012,South Thompson,15255,13479,12873,606
2013,South Thompson,15829,13251,11905,1345
2014,South Thompson,3443,2348,2041,307
2015,South Thompson,3107,2549,2010,539
2016,South Thompson,16521,15302,14221,1081
2017,South Thompson,3357,2982,2424,558
2018,South Thompson,7689,6467,5808,659
2019,South Thompson,10932,8560,7958,601
2020,South Thompson,18050,15415,13545,1870
2021,South Thompson,22736,20576,17635,2942
2022,South Thompson,13492,11442,10497,945
