"","region","species_name","species_qualified","streamid","stream_name_pse","GFE_ID","indicator","latitude","longitude","year","stream_observed_count","source_id"
"1","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1959,68,"NuSEDS_20251103"
"2","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1968,857,"NuSEDS_20251103"
"3","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1969,286,"NuSEDS_20251103"
"4","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1970,670,"NuSEDS_20251103"
"5","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1971,275,"NuSEDS_20251103"
"6","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1972,415,"NuSEDS_20251103"
"7","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1973,75,"NuSEDS_20251103"
"8","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1974,70,"NuSEDS_20251103"
"9","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1975,153,"NuSEDS_20251103"
"10","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1976,86,"NuSEDS_20251103"
"11","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1977,316,"NuSEDS_20251103"
"12","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1978,524,"Connors_20250515"
"13","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1979,632,"Connors_20250515"
"14","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1980,1436,"Connors_20250515"
"15","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1981,2411,"Connors_20250515"
"16","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1982,758,"Connors_20250515"
"17","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1983,540,"Connors_20250515"
"18","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1984,1044,"Connors_20250515"
"19","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1985,801,"Connors_20250515"
"20","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1986,745,"Connors_20250515"
"21","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1987,891,"Connors_20250515"
"22","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1988,765,"Connors_20250515"
"23","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1989,1662,"Connors_20250515"
"24","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1990,1806,"Connors_20250515"
"25","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1991,1040,"Connors_20250515"
"26","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1992,617,"Connors_20250515"
"27","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1993,572,"Connors_20250515"
"28","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1994,1764,"Connors_20250515"
"29","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1995,1314,"Connors_20250515"
"30","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1996,2565,"Connors_20250515"
"31","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1997,1345,"Connors_20250515"
"32","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1998,523,"Connors_20250515"
"33","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,1999,353,"Connors_20250515"
"34","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2000,113,"Connors_20250515"
"35","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2001,1020,"Connors_20250515"
"36","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2002,1149,"Connors_20250515"
"37","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2003,3075,"Connors_20250515"
"38","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2004,762,"Connors_20250515"
"39","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2005,5618,"JTC_202503"
"40","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2006,7308,"JTC_202503"
"41","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2007,4506,"JTC_202503"
"42","Yukon","Chinook","CK",10194,"BIG SALMON RIVER",2516,"Y",61.88025855,-134.9225263,2008,1329,"JTC_202503"
