stock,year,2.50%,25%,50%,75%,97.50%,SD
Stewart,1992,4433.549438,6621.651063,7717.336666,8832.714775,10868.0963,1608.636716
Carmacks,1992,8908.812292,12064.97855,13691.04703,15322.16393,18439.43011,2382.654456
Teslin,1992,8442.735026,10365.98977,11400.0327,12388.9751,14353.92435,1477.797332
MiddleMainstem,1992,12169.7249,14556.69879,15814.60592,17076.73927,19382.78321,1803.264578
UpperLakesAndMainstem,1992,10335.30738,11806.64597,12586.77087,13384.09331,14853.51958,1129.553051
LowerMainstem,1993,13427.38249,15095.43659,15977.32003,16859.12421,18515.4631,1272.020154
WhiteDonjek,1993,7385.289992,8809.167798,9582.913835,10346.66145,11801.70882,1104.104707
Pelly,1993,5392.561915,6909.685266,7680.225217,8470.434003,9963.244218,1142.670576
Stewart,1993,1971.066753,2996.117035,3525.668229,4060.327686,5097.726497,781.6649359
Carmacks,1993,4255.404344,5465.941346,6086.125444,6706.805081,7870.601405,903.7992651
Teslin,1993,5906.806897,7380.763645,8178.468486,8979.014698,10474.06277,1141.813969
MiddleMainstem,1993,8982.775895,10398.73035,11116.41831,11865.16204,13222.32461,1059.887178
UpperLakesAndMainstem,1993,3120.026483,3808.763486,4165.091149,4537.754558,5220.469778,525.1108239
LowerMainstem,1994,16368.46718,18491.21897,19574.57098,20653.94569,22707.01477,1584.636896
WhiteDonjek,1994,5227.688456,6758.149093,7519.904047,8328.514856,9838.539755,1152.712825
Pelly,1994,6090.877542,7591.349642,8382.193291,9179.328489,10717.71091,1156.708341
Stewart,1994,3461.300117,4680.07974,5321.297044,5980.430989,7250.150084,947.2124917
Carmacks,1994,5855.713882,7185.257427,7874.116186,8578.15788,9883.533043,1006.95479
Teslin,1994,2815.171117,4064.827832,4729.265221,5365.818342,6659.450539,961.0698557
MiddleMainstem,1994,7540.99392,9047.783746,9815.484607,10614.67236,12104.7734,1140.94487
UpperLakesAndMainstem,1994,5148.817019,6079.907359,6555.666424,7044.485492,7961.731358,703.2285848
LowerMainstem,1995,9146.866519,10734.75593,11580.06787,12395.96383,14048.80664,1225.485032
WhiteDonjek,1995,2544.396806,3924.775607,4859.586792,12225.65761,15335.13156,3197.683689
Pelly,1995,4772.34118,7169.356854,13730.51092,15331.31742,17664.59209,3223.062728
Stewart,1995,6213.970998,7918.919807,8814.380948,9709.914896,11431.64438,1304.418345
Carmacks,1995,8393.212912,10570.52321,11723.11682,12865.92764,15079.9769,1671.690996
Teslin,1995,7777.467778,9912.761127,11050.96805,12144.02559,14253.16272,1618.923735
MiddleMainstem,1995,27711.00574,30767.32915,32394.56871,34046.33651,37152.16038,2360.28866
UpperLakesAndMainstem,1995,8607.351621,9896.529349,10551.65225,11220.48284,12504.18312,974.2078741
LowerMainstem,1996,12011.64536,13749.61449,14635.35498,15535.13975,17287.43667,1318.947828
WhiteDonjek,1996,8830.809346,10707.88114,11672.18835,12606.41596,14484.4914,1413.420512
Pelly,1996,5324.340252,6924.885021,7770.565349,8592.336248,10217.75404,1223.353448
Stewart,1996,2096.019844,3208.875239,3800.642154,4392.862797,5547.639747,862.9049757
Carmacks,1996,9060.787914,10673.37489,11561.42528,12421.19616,14068.07212,1251.821051
Teslin,1996,8030.609059,9857.455095,10846.77678,11833.652,13687.6731,1414.266011
MiddleMainstem,1996,15273.20695,17278.11174,18278.09873,19275.52745,21245.0728,1492.966463
UpperLakesAndMainstem,1996,5464.548139,6396.214165,6900.402397,7403.714966,8342.508196,719.4900142
LowerMainstem,1997,11843.89845,13204.30462,13887.04056,14577.47991,15878.92579,1008.756834
WhiteDonjek,1997,3219.827523,4185.297608,4705.791382,5211.05112,6223.355374,750.8819629
Pelly,1997,7746.136647,10025.71991,11213.09597,12366.65411,14594.24269,1712.026512
Stewart,1997,4237.088829,6196.592544,7214.423425,8234.539636,10172.04091,1483.738021
Carmacks,1997,16357.66929,19299.03348,20880.48821,22474.04014,25476.68469,2279.75385
Teslin,1997,3706.631072,5523.123009,6450.055958,7419.612795,9356.189295,1412.389556
MiddleMainstem,1997,25830.4148,28909.65475,30604.53032,32231.5838,35339.82849,2377.353421
UpperLakesAndMainstem,1997,6704.670455,7754.082667,8342.943025,8935.187098,10101.42003,849.187393
LowerMainstem,1998,813.168864,1288.561506,1544.664154,1820.653508,2368.619738,388.8627184
WhiteDonjek,1998,5452.143538,6502.636121,7067.737405,7630.211759,8708.277768,814.0335576
Pelly,1998,6581.788369,7817.941579,8447.9086,9080.506179,10254.10623,918.0794642
Stewart,1998,5587.465344,7588.773302,10099.21547,11185.46093,12854.00195,1816.634151
Carmacks,1998,4969.195433,6392.793132,7384.491479,10196.83453,12487.86096,1879.666381
Teslin,1998,6787.896147,7969.149372,8587.849905,9203.136611,10380.34508,898.1122342
MiddleMainstem,1998,1278.925073,1669.012801,1872.92972,2076.450106,2463.192423,296.0668376
UpperLakesAndMainstem,1998,485.4831254,748.3066501,886.3014506,1023.348898,1286.593885,200.2776898
LowerMainstem,1999,5989.32882,6963.194985,7476.744086,7977.450136,8938.431361,737.2756352
WhiteDonjek,1999,2529.752053,3459.775765,3959.839061,4448.328227,5414.89253,721.2851192
Pelly,1999,4892.074967,6060.846678,6677.357542,7310.864435,8531.670182,909.8988037
Stewart,1999,1570.252228,2333.552218,2743.095207,3155.843275,3902.700043,583.1119538
Carmacks,1999,4624.817938,5772.355744,6369.875205,6983.021895,8098.00294,868.2962504
Teslin,1999,3060.432115,4065.921878,4587.362627,5103.683195,6088.899507,757.116848
MiddleMainstem,1999,5123.909244,6266.993242,6763.371203,7231.037239,8240.183675,779.0686077
UpperLakesAndMainstem,1999,4096.286211,4940.446189,5252.801474,5579.096286,6430.07263,583.4466048
LowerMainstem,2000,6475.848806,7444.713956,7970.995071,8489.740828,9484.480012,752.1578014
WhiteDonjek,2000,3831.318856,4899.514027,5468.362776,6021.987837,7107.906408,819.1468879
Pelly,2000,5071.987147,6245.236822,6859.01587,7470.683582,8636.216622,891.0573687
Stewart,2000,980.5410253,1703.581713,2086.391508,2471.89762,3187.461874,551.7302122
Carmacks,2000,5060.319302,6226.426428,6840.44227,7469.803869,8655.613755,898.8236131
Teslin,2000,2471.326888,3400.571158,3893.22451,4379.54843,5311.254312,709.9818558
MiddleMainstem,2000,9810.380395,11140.39875,11810.4068,12494.05058,13799.59303,997.3031592
UpperLakesAndMainstem,2000,3490.525214,4121.633048,4466.06073,4793.380019,5433.818909,485.8234239
LowerMainstem,2001,5338.853299,7294.94481,8289.079296,9342.214902,11234.34316,1473.872465
WhiteDonjek,2001,3154.13683,4613.358178,5352.543932,6075.870264,7493.581627,1084.861199
Pelly,2001,4914.130014,6875.76251,7875.361817,8852.85807,10750.47081,1459.0852
Stewart,2001,2158.251649,3324.11898,3937.41871,4541.264981,5699.698023,885.3615936
Carmacks,2001,1634.479818,2712.057533,3271.795767,3820.054137,4916.603945,820.5310316
Teslin,2001,15257.0761,19663.0995,21995.02502,24431.1328,28898.68899,3410.403222
MiddleMainstem,2001,29315.55161,37407.55279,41551.24972,45731.99782,53803.37987,6121.957065
UpperLakesAndMainstem,2001,12860.23073,19677.86106,23709.95799,27869.30463,36183.36224,5830.782877
LowerMainstem,2002,7994.974693,9376.047275,10102.57552,10813.77596,12191.15504,1049.045088
WhiteDonjek,2002,1154.215545,1991.505016,2428.798625,2857.950147,3702.139924,636.9810948
Pelly,2002,4551.862037,5746.118429,6392.329069,6998.053046,8218.820097,916.739515
Stewart,2002,1968.534315,2890.152828,3370.334672,3853.086879,4750.253481,695.4297916
Carmacks,2002,4298.214711,5668.6605,6424.284218,7167.178244,8593.814958,1073.900062
Teslin,2002,398.7712641,1046.635646,1383.616216,1716.821848,2374.787414,494.0040375
MiddleMainstem,2002,26062.571,28854.01368,30298.02959,31704.4122,34526.11176,2115.885192
UpperLakesAndMainstem,2002,2906.101849,3597.461844,3941.680258,4295.118577,4967.881586,515.4449342
LowerMainstem,2003,14316.45597,16348.03198,17407.91352,18475.56039,20414.40046,1524.486122
WhiteDonjek,2003,7082.14924,8536.620041,9289.646133,10026.99289,11504.02291,1105.468417
Pelly,2003,10937.25625,13070.65102,14243.12241,15353.08896,17540.32102,1650.766192
Stewart,2003,1558.752017,2593.710761,3131.917888,3674.798547,4709.661565,787.7273869
Carmacks,2003,5770.27259,7323.650984,8136.156156,8949.275143,10492.26906,1180.499117
Teslin,2003,1937.137409,3215.94654,3866.04833,4533.556061,5801.616861,966.119863
MiddleMainstem,2003,9583.622826,11214.7104,12077.57684,12937.224,14585.46952,1250.461673
UpperLakesAndMainstem,2003,4318.375028,5123.531333,5544.107332,5962.774987,6759.655537,610.3201274
LowerMainstem,2004,11535.94988,13121.77704,13973.90189,14787.64947,16325.4414,1197.372878
WhiteDonjek,2004,2085.291814,3272.092581,3847.549353,4468.889617,5623.253178,884.4903411
Pelly,2004,8462.219805,10378.12282,11363.65813,12336.39236,14264.15961,1450.484952
Stewart,2004,3381.277274,4704.866213,5395.877954,6103.463134,7447.251653,1016.493595
Carmacks,2004,4931.158503,6164.012052,6834.864286,7499.280045,8751.928252,955.1924373
Teslin,2004,2484.283053,3709.980019,4355.178319,4982.882003,6177.067048,923.1959988
MiddleMainstem,2004,14594.41902,16479.6747,17472.92515,18458.54366,20324.32984,1432.477705
UpperLakesAndMainstem,2004,6741.504462,7861.701328,8420.144637,9000.530228,10115.85244,843.5869938
LowerMainstem,2005,10521.03894,12321.25314,13256.49063,14172.9933,15913.21829,1348.044837
WhiteDonjek,2005,5839.935078,7612.074557,8528.627447,9476.561373,11286.25455,1361.579867
Pelly,2005,7289.871652,8776.502364,9556.959914,10332.31696,11809.13414,1129.815621
Stewart,2005,1941.184385,3095.079203,3708.988562,4317.680081,5470.910206,882.4314552
