"","region","cu_name_dfo","cu_index","species_abbr"
"187","Central Coast","Docee (Chinook)","CK-36","CK"
"188","Central Coast","Rivers Inlet (Chinook)","CK-37","CK"
"189","Central Coast","Wannock (Chinook)","CK-38","CK"
"190","Central Coast","Bella Coola-Bentinck (Chinook)","CK-39","CK"
"191","Central Coast","Dean River (Chinook)","CK-40","CK"
"192","Central Coast","North & Central Coast-late timing (Chinook)","CK-41","CK"
"193","Central Coast","North & Central Coast-early timing (Chinook)","CK-42","CK"
"194","Central Coast","Smith Inlet (Coho)","CO-20","CO"
"195","Central Coast","Rivers Inlet (Coho)","CO-21","CO"
"196","Central Coast","Bella Coola-Dean Rivers (Coho)","CO-22","CO"
"197","Central Coast","Mussel-Kynoch (Coho)","CO-26","CO"
"198","Central Coast","Hecate Strait Mainland (Coho)","CO-27","CO"
"199","Central Coast","Brim-Wahoo (Coho)","CO-28","CO"
"200","Central Coast","Douglas Channel-Kitimat Arm (Coho)","CO-29","CO"
"201","Central Coast","Northern Coastal Streams (Coho)","CO-30","CO"
"202","Central Coast","Smith Inlet (Chum)","CM-12","CM"
"203","Central Coast","Rivers Inlet (Chum)","CM-13","CM"
"204","Central Coast","Wannock (Chum)","CM-14","CM"
"205","Central Coast","Spiller-Fitz-Hugh-Burke (Chum)","CM-15","CM"
"206","Central Coast","Bella Coola-Dean Rivers (Chum)","CM-16","CM"
"207","Central Coast","Bella Coola River-Late (Chum)","CM-17","CM"
"208","Central Coast","Hecate Lowlands (Chum)","CM-18","CM"
"209","Central Coast","Mussel-Kynock (Chum)","CM-19","CM"
"210","Central Coast","Douglas-Gardner (Chum)","CM-20","CM"
"211","Central Coast","North Coast Winter",NA,"SH"
"212","Central Coast","North Coast Summer",NA,"SH"
"213","Central Coast","Central Coast Winter",NA,"SH"
"214","Central Coast","Transition Summer",NA,"SH"
"215","Fraser","Chilliwack_Early Summer","SEL-03-01","SEL"
"216","Fraser","Cultus_Late","SEL-03-02","SEL"
"217","Fraser","Harrison-downstream migrating_Late","SEL-03-03","SEL"
"218","Fraser","Harrison-upstream migrating_Late","SEL-03-04","SEL"
"219","Fraser","Pitt_Early Summer","SEL-03-05","SEL"
"220","Fraser","Lillooet/Harrison_Late","SEL-04-01","SEL"
"221","Fraser","Nahatlatch_Early Summer","SEL-05-02","SEL"
"222","Fraser","Anderson/Seton_Early Summer","SEL-06-01","SEL"
"223","Fraser","Chilko_Early Summer","SEL-06-02","SEL"
"224","Fraser","Chilko_Summer","SEL-06-03","SEL"
"225","Fraser","Francois/Fraser_Summer","SEL-06-07","SEL"
"226","Fraser","Nadina/Francois_Early Summer <<Extinct>>","SEL-06-20","SEL"
"227","Fraser","Quesnel_Summer","SEL-06-10","SEL"
"228","Fraser","Seton_Late","SEL-06-11","SEL"
"229","Fraser","Takla/Trembleur/Stuart_Summer","SEL-06-13","SEL"
"230","Fraser","Takla/Trembleur_Early Stuart","SEL-06-14","SEL"
"231","Fraser","Taseko_Early Summer","SEL-06-16","SEL"
"232","Fraser","Bowron_Early Summer","SEL-07-01","SEL"
"233","Fraser","Shuswap_Early Summer","SEL-09-02","SEL"
"234","Fraser","Shuswap_Late","SEL-09-03","SEL"
"235","Fraser","Kamloops_Early Summer","SEL-10-01","SEL"
"236","Fraser","Adams and Momich Lakes_Early Summer <<Extinct>>","SEL-09-xx","SEL"
"237","Fraser","North Barriere_Early Summer <<de novo>>","SEL-10-03","SEL"
"238","Fraser","Fraser_Early Summer<<Extinct>>","SEL-06-06","SEL"
"239","Fraser","Alouette - Early Summer <<Extinct>>",NA,"SEL"
"240","Fraser","Coquitlam – Early Summer <<Extinct>>",NA,"SEL"
"241","Fraser","Kawkawa – Late <<Extinct>>",NA,"SEL"
"242","Fraser","Seton - Summer <<Extinct>>",NA,"SEL"
"243","Fraser","Adams - Early Summer <<Extinct>>",NA,"SEL"
"244","Fraser","Momich - Early Summer <<Extinct>>",NA,"SEL"
"245","Fraser","North Barriere - Early Summer <<Extinct>>",NA,"SEL"
"246","Fraser","Widgeon","SER-02","SER"
"247","Fraser","Harrison River","SER-03","SER"
"248","Fraser","Fraser River","PKO-1","PKO"
"249","Fraser","CK002-Boundary Bay_FA_0.3","CK-2","CK"
"250","Fraser","CK003-Lower Fraser River_FA_0.3","CK-3","CK"
"251","Fraser","CK004-Lower Fraser River_SP_1.3","CK-4","CK"
"252","Fraser","CK005-Lower Fraser River-Upper Pitt_SU_1.3","CK-5","CK"
"253","Fraser","CK006-Lower Fraser River_SU_1.3","CK-6","CK"
"254","Fraser","CK007-Maria Slough_SU_0.3","CK-7","CK"
"255","Fraser","CK008-Middle Fraser-Fraser Canyon_SP_1.3","CK-8","CK"
"256","Fraser","CK009-Middle Fraser River-Portage_FA_1.3","CK-9","CK"
"257","Fraser","CK010-Middle Fraser River_SP_1.3","CK-10","CK"
"258","Fraser","CK011-Middle Fraser River_SU_1.3","CK-11","CK"
"259","Fraser","CK012-Upper Fraser River_SP_1.3","CK-12","CK"
"260","Fraser","CK013-South Thompson_SU_0.3","CK-13","CK"
"261","Fraser","CK014-South Thompson_SU_1.3","CK-14","CK"
"262","Fraser","CK015-Shuswap River_SU_0.3","CK-15","CK"
"263","Fraser","CK016-South Thompson-Bessette Creek_SU_1.2","CK-16","CK"
"264","Fraser","CK017-Lower Thompson_SP_1.2","CK-17","CK"
"265","Fraser","CK018-North Thompson_SP_1.3","CK-18","CK"
"266","Fraser","CK019-North Thompson_SU_1.3","CK-19","CK"
"267","Fraser","CK082-Upper Adams River_SU_x.x","CK-82","CK"
"268","Fraser","Lillooet","CO-4","CO"
"269","Fraser","Fraser Canyon","CO-5","CO"
"270","Fraser","Lower Thompson","CO-7","CO"
"271","Fraser","South Thompson","CO-8","CO"
"272","Fraser","North Thompson","CO-9","CO"
"273","Fraser","Interior Fraser","CO-48","CO"
"274","Fraser","Lower Fraser","CO-47","CO"
"275","Fraser","Boundary Bay","CO-1","CO"
"276","Fraser","Lower Fraser","CM-2","CM"
"277","Fraser","Mid Fraser Summer",NA,"SH"
"278","Fraser","Thompson Summer",NA,"SH"
"279","Fraser","Lower Fraser Winter",NA,"SH"
"280","Fraser","Fraser Canyon Summer",NA,"SH"
"281","Fraser","Lower Fraser Summer",NA,"SH"
"282","Fraser","Boundary Bay Winter",NA,"SH"
"283","Vancouver Island & Mainland Inlets","Fulmore","SEL-11-01","SEL"
"284","Vancouver Island & Mainland Inlets","Heydon","SEL-11-02","SEL"
"285","Vancouver Island & Mainland Inlets","Kakweiken","SEL-11-03","SEL"
"286","Vancouver Island & Mainland Inlets","Loose","SEL-11-04","SEL"
"287","Vancouver Island & Mainland Inlets","Mackenzie","SEL-11-05","SEL"
"288","Vancouver Island & Mainland Inlets","Phillips","SEL-11-06","SEL"
"289","Vancouver Island & Mainland Inlets","Sakinaw","SEL-11-07","SEL"
"290","Vancouver Island & Mainland Inlets","Tzoonie","SEL-11-09","SEL"
"291","Vancouver Island & Mainland Inlets","Ida/Bonanza","SEL-12-01","SEL"
"292","Vancouver Island & Mainland Inlets","Nahwitti","SEL-12-02","SEL"
"293","Vancouver Island & Mainland Inlets","Nimpkish","SEL-12-03","SEL"
"294","Vancouver Island & Mainland Inlets","Quatse","SEL-12-05","SEL"
"295","Vancouver Island & Mainland Inlets","Schoen","SEL-12-06","SEL"
"296","Vancouver Island & Mainland Inlets","Shushartie","SEL-12-07","SEL"
"297","Vancouver Island & Mainland Inlets","Woss","SEL-12-08","SEL"
"298","Vancouver Island & Mainland Inlets","Alice","SEL-13-01","SEL"
"299","Vancouver Island & Mainland Inlets","Canoe Creek","SEL-13-02","SEL"
"300","Vancouver Island & Mainland Inlets","Cecilia","SEL-13-03","SEL"
"301","Vancouver Island & Mainland Inlets","Cheewat","SEL-13-04","SEL"
"302","Vancouver Island & Mainland Inlets","Clayoquot","SEL-13-05","SEL"
"303","Vancouver Island & Mainland Inlets","Deserted","SEL-13-06","SEL"
"304","Vancouver Island & Mainland Inlets","Fairy","SEL-13-07","SEL"
"305","Vancouver Island & Mainland Inlets","Great Central","SEL-13-08","SEL"
"306","Vancouver Island & Mainland Inlets","Henderson","SEL-13-09","SEL"
"307","Vancouver Island & Mainland Inlets","Hesquiat","SEL-13-10","SEL"
"308","Vancouver Island & Mainland Inlets","Hobiton","SEL-13-11","SEL"
"309","Vancouver Island & Mainland Inlets","Jansen","SEL-13-12","SEL"
"310","Vancouver Island & Mainland Inlets","Kanim","SEL-13-13","SEL"
"311","Vancouver Island & Mainland Inlets","Kennedy","SEL-13-14","SEL"
"312","Vancouver Island & Mainland Inlets","Maggie","SEL-13-15","SEL"
"313","Vancouver Island & Mainland Inlets","Megin","SEL-13-16","SEL"
"314","Vancouver Island & Mainland Inlets","Muchalat","SEL-13-17","SEL"
"315","Vancouver Island & Mainland Inlets","Muriel","SEL-13-18","SEL"
"316","Vancouver Island & Mainland Inlets","Nitinat","SEL-13-19","SEL"
"317","Vancouver Island & Mainland Inlets","O'Connell","SEL-13-20","SEL"
"318","Vancouver Island & Mainland Inlets","Park River","SEL-13-22","SEL"
"319","Vancouver Island & Mainland Inlets","Power","SEL-13-23","SEL"
"320","Vancouver Island & Mainland Inlets","Sproat","SEL-13-25","SEL"
"321","Vancouver Island & Mainland Inlets","William/Brink","SEL-13-26","SEL"
"322","Vancouver Island & Mainland Inlets","Vernon","SEL-12-09","SEL"
"323","Vancouver Island & Mainland Inlets","Southern Fjords","SER-09","SER"
"324","Vancouver Island & Mainland Inlets","West Vancouver Island","SER-10","SER"
"325","Vancouver Island & Mainland Inlets","East Vancouver Island and Georgia Strait","SER-08","SER"
"326","Vancouver Island & Mainland Inlets","NW Vancouver Island","SER-11","SER"
"327","Vancouver Island & Mainland Inlets","East Howe Sound-Burrard Inlet","PKO-2","PKO"
"328","Vancouver Island & Mainland Inlets","Georgia Strait","PKO-3","PKO"
"329","Vancouver Island & Mainland Inlets","East Vancouver Island-Johnstone Strait","PKO-4","PKO"
"330","Vancouver Island & Mainland Inlets","Nahwitti","PKO-5","PKO"
"331","Vancouver Island & Mainland Inlets","West Vancouver Island","PKO-6","PKO"
"332","Vancouver Island & Mainland Inlets","Southern Fjords","PKO-7","PKO"
"333","Vancouver Island & Mainland Inlets","Georgia Strait","PKE-1","PKE"
"334","Vancouver Island & Mainland Inlets","West Vancouver Island","PKE-2","PKE"
"335","Vancouver Island & Mainland Inlets","Northwest Vancouver Island","PKE-3","PKE"
"336","Vancouver Island & Mainland Inlets","Southern Fjords","PKE-4","PKE"
"337","Vancouver Island & Mainland Inlets","CK020-Southern Mainland-Georgia Strait_FA_0.x","CK-20","CK"
"338","Vancouver Island & Mainland Inlets","CK021-East Vancouver Island-Goldstream_FA_0.x","CK-21","CK"
"339","Vancouver Island & Mainland Inlets","CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x","CK-22","CK"
"340","Vancouver Island & Mainland Inlets","CK023-East Vancouver Island-Nanaimo_SP_1.x","CK-23","CK"
"341","Vancouver Island & Mainland Inlets","CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x","CK-25","CK"
"342","Vancouver Island & Mainland Inlets","CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x","CK-27","CK"
"343","Vancouver Island & Mainland Inlets","CK028-Southern Mainland-Southern Fjords_FA_0.x","CK-28","CK"
"344","Vancouver Island & Mainland Inlets","CK029-East Vancouver Island-North_FA_0.x","CK-29","CK"
"345","Vancouver Island & Mainland Inlets","CK031-West Vancouver Island-South_FA_0.x","CK-31","CK"
"346","Vancouver Island & Mainland Inlets","CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x","CK-32","CK"
"347","Vancouver Island & Mainland Inlets","CK033-West Vancouver Island-North_FA_0.x","CK-33","CK"
"348","Vancouver Island & Mainland Inlets","CK034-Homathko_SU_x.x","CK-34","CK"
"349","Vancouver Island & Mainland Inlets","CK035-Klinaklini_SU_1.3","CK-35","CK"
"350","Vancouver Island & Mainland Inlets","CK083-East Vancouver Island-Georgia Strait_SU_0.3","CK-83","CK"
"351","Vancouver Island & Mainland Inlets","Howe Sound-Burrard Inlet","CO-10","CO"
"352","Vancouver Island & Mainland Inlets","Georgia Strait Mainland","CO-11","CO"
"353","Vancouver Island & Mainland Inlets","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","CO-12","CO"
"354","Vancouver Island & Mainland Inlets","East Vancouver Island-Georgia Strait","CO-13","CO"
"355","Vancouver Island & Mainland Inlets","East Vancouver Island-Johnstone Strait-Southern Fjords","CO-14","CO"
"356","Vancouver Island & Mainland Inlets","Nahwitti Lowland","CO-15","CO"
"357","Vancouver Island & Mainland Inlets","Juan de Fuca-Pachena","CO-16","CO"
"358","Vancouver Island & Mainland Inlets","West Vancouver Island","CO-17","CO"
"359","Vancouver Island & Mainland Inlets","Clayoquot","CO-18","CO"
"360","Vancouver Island & Mainland Inlets","Homathko-Klinaklini Rivers","CO-19","CO"
"361","Vancouver Island & Mainland Inlets","Southern Coastal Streams","CM-8","CM"
"362","Vancouver Island & Mainland Inlets","Bute Inlet","CM-7","CM"
"363","Vancouver Island & Mainland Inlets","Loughborough","CM-6","CM"
"364","Vancouver Island & Mainland Inlets","Northeast Vancouver Island","CM-5","CM"
"365","Vancouver Island & Mainland Inlets","Georgia Strait","CM-4","CM"
"366","Vancouver Island & Mainland Inlets","Howe Sound-Burrard Inlet","CM-3","CM"
"367","Vancouver Island & Mainland Inlets","Northwest Vancouver Island","CM-11","CM"
"368","Vancouver Island & Mainland Inlets","Southwest & West  Vancouver Island","CM-10","CM"
"369","Vancouver Island & Mainland Inlets","Upper Knight","CM-9","CM"
"370","Vancouver Island & Mainland Inlets","South Coast Winter",NA,"SH"
"371","Vancouver Island & Mainland Inlets","East Vancouver Island Winter",NA,"SH"
"372","Vancouver Island & Mainland Inlets","West Vancouver Island Winter",NA,"SH"
"373","Vancouver Island & Mainland Inlets","South Coast Summer",NA,"SH"
"374","Vancouver Island & Mainland Inlets","West Vancouver Island Summer",NA,"SH"
"375","Vancouver Island & Mainland Inlets","East Vancouver Island Summer",NA,"SH"
"376","Haida Gwaii","Ain/Skundale/Ian","SEL-17-01","SEL"
"377","Haida Gwaii","Awun","SEL-17-02","SEL"
"378","Haida Gwaii","Fairfax","SEL-17-03","SEL"
"379","Haida Gwaii","Jalun","SEL-17-04","SEL"
"380","Haida Gwaii","Marian/Eden","SEL-17-05","SEL"
"381","Haida Gwaii","Mathers","SEL-17-06","SEL"
"382","Haida Gwaii","Mercer","SEL-17-07","SEL"
"383","Haida Gwaii","Skidegate","SEL-17-08","SEL"
"384","Haida Gwaii","Yakoun","SEL-17-09","SEL"
"385","Haida Gwaii","Marie","SEL-17-10","SEL"
"386","Haida Gwaii","East Haida Gwaii","SER-13","SER"
"387","Haida Gwaii","North Haida Gwaii","SER-15","SER"
"388","Haida Gwaii","West Haida Gwaii","SER-14","SER"
"389","Haida Gwaii","East Haida Gwaii","PKO-9","PKO"
"390","Haida Gwaii","North Haida Gwaii","PKO-10","PKO"
"391","Haida Gwaii","West Haida Gwaii","PKO-11","PKO"
"392","Haida Gwaii","North Haida Gwaii","PKE-9","PKE"
