"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Haida Gwaii","Chinook",1997,NA,NA,NA,NA
"Haida Gwaii","Chinook",1998,NA,NA,NA,NA
"Haida Gwaii","Chinook",1999,NA,NA,NA,NA
"Haida Gwaii","Chinook",2000,NA,NA,NA,NA
"Haida Gwaii","Chinook",2001,NA,NA,NA,NA
"Haida Gwaii","Chinook",2002,NA,NA,NA,NA
"Haida Gwaii","Chinook",2003,NA,NA,NA,NA
"Haida Gwaii","Chinook",2004,NA,NA,NA,NA
"Haida Gwaii","Chinook",2005,NA,NA,NA,NA
"Haida Gwaii","Chinook",2006,NA,NA,NA,NA
"Haida Gwaii","Chinook",2007,NA,NA,NA,NA
"Haida Gwaii","Chinook",2008,NA,NA,NA,NA
"Haida Gwaii","Chinook",2009,NA,NA,NA,NA
"Haida Gwaii","Chinook",2010,NA,NA,NA,NA
"Haida Gwaii","Chinook",2011,NA,NA,NA,NA
"Haida Gwaii","Chinook",2012,NA,NA,NA,NA
"Haida Gwaii","Chinook",2013,NA,NA,NA,NA
"Haida Gwaii","Chinook",2014,NA,NA,NA,NA
"Haida Gwaii","Chinook",2015,NA,NA,NA,NA
"Haida Gwaii","Chinook",2016,NA,NA,NA,NA
"Haida Gwaii","Chinook",2017,NA,NA,NA,NA
"Haida Gwaii","Chinook",2018,NA,NA,NA,NA
"Haida Gwaii","Chinook",2019,NA,NA,NA,NA
"Haida Gwaii","Chinook",2020,NA,NA,NA,NA
"Haida Gwaii","Chinook",2021,NA,NA,NA,NA
"Haida Gwaii","Chum",1950,655213.336645768,655213.336645768,1.09927189918945,1.21928336389284
"Haida Gwaii","Chum",1951,802051.514909834,724924.02998236,1.05807571809617,1.21928336389284
"Haida Gwaii","Chum",1952,1093911.75250108,831487.567811343,1.06755828723843,1.21928336389284
"Haida Gwaii","Chum",1953,299187.670328294,643987.95297251,1.03963534860459,1.21928336389284
"Haida Gwaii","Chum",1954,619592.610579601,639033.227321253,1.04350591483613,1.21928336389284
"Haida Gwaii","Chum",1955,65812.6389150344,403560.596895572,1.24441480452108,1.21928336389284
"Haida Gwaii","Chum",1956,113619.445199016,272997.604296466,1.24537828970542,1.21928336389284
"Haida Gwaii","Chum",1957,444963.086073154,228048.476354331,1.1181561338097,1.21928336389284
