"","region","chinook","chum","coho","pink","sockeye","steelhead"
"1","Yukon",12,7,1,0,0,0
"2","Transboundary",9,5,8,2,15,5
"3","Haida Gwaii",2,5,3,6,13,1
"4","Nass",2,3,3,3,10,2
"5","Skeena",12,4,4,5,30,11
"6","Central Coast",7,9,8,5,85,4
"7","Vancouver Island & Mainland Inlets",14,9,10,10,44,6
"8","Fraser",19,1,8,1,33,6
"9","Columbia",1,0,0,0,1,1
