"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","status_offset_x","status_offset_y","region_label_offset_x","region_label_offset_y"
"Nass","Sockeye","Spawners",60,3.5,"arrow-up",0.2,"arrows-left-right",419516,2025,262475,236298,5,"Nass Sockeye",44,"1982-2025",-1,0,0,-5
"Nass","Sockeye","Total return",-8,-0.5,"arrows-left-right",-1.4,"arrow-down",607238,2025,662852,356348,5,"Nass Sockeye",44,"1982-2025",0,0,0,0
"Nass","Steelhead","Spawners",6,-4.2,"arrow-down",2.1,"arrow-up",12057,2025,11347,12920,5,"Nass Steelhead",34,"1992-2025",0,0,0,0
"Nass","Steelhead","Total return",-7,-4.8,"arrow-down",0.5,"arrows-left-right",16451,2025,17741,15996,5,"Nass Steelhead",34,"1992-2025",0,0,0,0
"Skeena","Chinook","Spawners",-45,-6.5,"arrow-down",-1.7,"arrow-down",24708,2025,45036,29812,6,"Skeena Chinook",42,"1984-2025",0,0,0,0
"Skeena","Chinook","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,6,NA,NA,NA,0,0,0,0
"Skeena","Chum","Spawners",-85,-9.5,"arrow-down",-2.7,"arrow-down",1333,2024,8705,2318,5,"Skeena Chum",75,"1950-2024",0,0,0,-2
"Skeena","Chum","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Skeena","Coho","Spawners",10,-5,"arrows-left-right",-1,"arrow-down",98809,2024,89793,44158,4,"Skeena Coho",75,"1950-2024",0,0,0,0
"Skeena","Coho","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"Skeena","Pink","Spawners",310,162.1,"arrow-up",-0.4,"arrows-left-right",3942967,2024,962582,1471760,2,"Skeena Pink",75,"1950-2024",0,0,0,0
"Skeena","Pink","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0
"Skeena","Sockeye","Spawners",73,3.5,"arrow-up",0.9,"arrow-up",1704656,2024,986505,950032,5,"Skeena Sockeye",65,"1960-2024",0,0,0,0
"Skeena","Sockeye","Total return",14,1.6,"arrows-left-right",0.2,"arrows-left-right",2367527,2024,2077621,1411025,5,"Skeena Sockeye",65,"1960-2024",0,1,0,0
"Skeena","Steelhead","Spawners",-44,-9,"arrow-down",0.7,"arrow-up",12200,2025,21634,23697,5,"Skeena Steelhead",70,"1956-2025",-1,0,0,-5
"Skeena","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Central Coast","Chinook","Spawners",7,2,"arrows-left-right",1.1,"arrow-up",17899,2025,16696,18882,5,"Central Coast Chinook",51,"1975-2025",0,0,0,-1
"Central Coast","Chinook","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Central Coast","Chum","Spawners",-30,-8.2,"arrow-down",-0.7,"arrow-down",347785,2024,494001,212765,4,"Central Coast Chum",75,"1950-2024",0,0,0,0
"Central Coast","Chum","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
