"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","datasetversion"
"Nass","Coho","Run Size",0.446674596016005,-0.00645207768212253,"arrows-left-right",0.0186323269361306,"arrow-up",399423,2025,276097,235274,4,"Nass Coho",34,"1992-2025","20260910"
"Nass","Pink","Spawners",4.38797076326662,0.337947067291885,"arrow-up",0.0231548698174993,"arrow-up",1388898,2025,257778,1023237,2,"Nass Pink",76,"1950-2025","20260910"
"Nass","Pink","Run Size",1.75628855606527,0.345554054219481,"arrow-up",0.00411903848658768,"arrows-left-right",1550765,2025,562628,1133442,2,"Nass Pink",34,"1992-2025","20260910"
"Nass","Sockeye","Spawners",0.598308795382038,0.03530393719265,"arrow-up",0.00221432256164933,"arrows-left-right",419516,2025,262475,236298,5,"Nass Sockeye",44,"1982-2025","20260910"
"Nass","Sockeye","Run Size",-0.0839019220650413,-0.00510935957037406,"arrows-left-right",-0.0144521504373075,"arrow-down",607238,2025,662852,356348,5,"Nass Sockeye",44,"1982-2025","20260910"
"Nass","Steelhead","Spawners",0.0625610899760704,-0.0424542655551584,"arrow-down",0.0213410957096525,"arrow-up",12057,2025,11347,12920,5,"Nass Steelhead",34,"1992-2025","20260910"
"Nass","Steelhead","Run Size",-0.0727400336915262,-0.0478452971980889,"arrow-down",0.00544363955134641,"arrows-left-right",16451,2025,17741,15996,5,"Nass Steelhead",34,"1992-2025","20260910"
"Skeena","Chinook","Spawners",-0.45138570098078,-0.0650530282776636,"arrow-down",-0.0172089919279336,"arrow-down",24708,2025,45036,29812,6,"Skeena Chinook",42,"1984-2025","20260910"
"Skeena","Chinook","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"20260910"
"Skeena","Chum","Spawners",-0.835869294442563,-0.153635021982184,"arrow-down",-0.023066903272608,"arrow-down",1876,2024,11427,3202,5,"Skeena Chum",75,"1950-2024","20260910"
"Skeena","Chum","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"20260910"
"Skeena","Coho","Spawners",-0.129825635651231,-0.0457308088423142,"arrow-down",-0.00902134417715195,"arrow-down",76465,2024,87874,74365,4,"Skeena Coho",75,"1950-2024","20260910"
"Skeena","Coho","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"Skeena","Pink","Spawners",2.93994057243737,1.59425820904972,"arrow-up",-0.00389218539810365,"arrows-left-right",4215882,2024,1070037,1621123,2,"Skeena Pink",75,"1950-2024","20260910"
"Skeena","Pink","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"20260910"
"Skeena","Sockeye","Spawners",0.727974940817441,0.0350906282669852,"arrow-up",0.0087167466263296,"arrow-up",1704656,2024,986505,950032,5,"Skeena Sockeye",65,"1960-2024","20260910"
"Skeena","Sockeye","Run Size",0.139537659497719,0.0155363786782001,"arrows-left-right",0.00200874262174588,"arrows-left-right",2367527,2024,2077621,1411025,5,"Skeena Sockeye",65,"1960-2024","20260910"
"Skeena","Steelhead","Spawners",-0.436060024728066,-0.089793592717363,"arrow-down",0.00661329580132608,"arrow-up",12200,2025,21634,23697,5,"Skeena Steelhead",70,"1956-2025","20260910"
