"region","species","type","current_status","short_trend_per_yr","short_trend_total","short_trend_years","short_trend_cat","long_trend_per_year","long_trend_total","long_trend_years","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Nass","Pink","Run Size",232,47.2,592.1,"2019-2024","arrow-up",0,-0.1,"1992-2024","arrows-left-right",1821191,2024,548719,576437,2,33,"1992-2024"
"Nass","Sockeye","Spawners",49,2.8,47.4,"2010-2024","arrow-up",0.1,3.2,"1982-2024","arrows-left-right",388585,2024,261344,266004,5,43,"1982-2024"
"Nass","Sockeye","Run Size",-18,-1.4,-18.4,"2010-2024","arrows-left-right",-1.5,-47.4,"1982-2024","arrow-down",546804,2024,667258,442223,5,43,"1982-2024"
"Nass","Steelhead","Spawners",-13,-3.5,-39.1,"2010-2024","arrow-down",2.3,105.2,"1992-2024","arrow-up",9849,2024,11358,17048,5,33,"1992-2024"
"Nass","Steelhead","Run Size",-26,-4.7,-48.9,"2010-2024","arrow-down",0.6,21.9,"1992-2024","arrows-left-right",13206,2024,17832,21890,5,33,"1992-2024"
"Skeena","Chinook","Spawners",-50,-6.9,-70.2,"2007-2024","arrow-down",-1.6,-48.1,"1984-2024","arrow-down",22415,2024,45276,33516,6,41,"1984-2024"
"Skeena","Chinook","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,6,NA,NA
"Skeena","Chum","Spawners",-84,-10.3,-78.3,"2009-2023","arrow-down",-2.6,-85.3,"1950-2023","arrow-down",1382,2023,8842,2232,5,74,"1950-2023"
"Skeena","Chum","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
"Skeena","Coho","Spawners",-6,-7.4,-57,"2012-2023","arrow-down",-1.1,-53.8,"1950-2023","arrow-down",84977,2023,89925,56468,4,74,"1950-2023"
"Skeena","Coho","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"Skeena","Pink","Spawners",237,116.5,4651.7,"2018-2023","arrow-up",-0.6,-35.6,"1950-2023","arrows-left-right",3189545,2023,946883,243186,2,74,"1950-2023"
"Skeena","Pink","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,2,NA,NA
"Skeena","Sockeye","Spawners",29,2.2,34.9,"2009-2023","arrow-up",0.8,67.7,"1960-2023","arrow-up",1252708,2023,971200,1158376,5,64,"1960-2023"
"Skeena","Sockeye","Run Size",-10,0.2,2.9,"2009-2023","arrows-left-right",0.2,12.4,"1960-2023","arrows-left-right",1852037,2023,2067870,1860182,5,64,"1960-2023"
"Skeena","Steelhead","Spawners",-41,-8.3,-70.4,"2010-2024","arrow-down",0.8,68.1,"1956-2024","arrow-up",13001,2024,21853,26466,5,69,"1956-2024"
"Skeena","Steelhead","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
"Central Coast","Chinook","Spawners",10,2.6,43.8,"2010-2024","arrows-left-right",1.1,73.6,"1975-2024","arrow-up",18278,2024,16615,21910,5,50,"1975-2024"
"Central Coast","Chinook","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
"Central Coast","Chum","Spawners",-57,-8.6,-62.9,"2012-2023","arrow-down",-0.7,-39,"1950-2023","arrow-down",210944,2023,494330,343675,4,74,"1950-2023"
"Central Coast","Chum","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"Central Coast","Coho","Spawners",-18,-5.8,-48,"2012-2023","arrow-down",-0.4,-26.6,"1950-2023","arrow-down",135175,2023,164734,124641,4,74,"1950-2023"
"Central Coast","Coho","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"Central Coast","Pink","Spawners",-24,17.4,123.1,"2018-2023","arrows-left-right",0.6,54.2,"1950-2023","arrow-up",1628315,2023,2149065,3333341,2,74,"1950-2023"
"Central Coast","Pink","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,2,NA,NA
"Central Coast","Sockeye","Spawners",-44,2.5,40.5,"2009-2023","arrows-left-right",-1.6,-70.1,"1950-2023","arrow-down",226513,2023,405193,330711,5,74,"1950-2023"
"Central Coast","Sockeye","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
"Central Coast","Steelhead","Spawners",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,NA,NA,NA
"Central Coast","Steelhead","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Chinook","Spawners",236,13.4,299.7,"2013-2024","arrow-up",1.1,66.5,"1979-2024","arrows-left-right",26382,2024,7847,16960,4,46,"1979-2024"
"East Vancouver Island & Mainland Inlets","Chinook","Run Size",215,12.9,281.3,"2013-2024","arrow-up",1.5,107.1,"1975-2024","arrow-up",30119,2024,9577,19200,4,50,"1975-2024"
"East Vancouver Island & Mainland Inlets","Chum","Spawners",-58,-10,-68.5,"2012-2023","arrow-down",0.6,57.1,"1953-2023","arrow-up",345309,2023,816432,905331,4,71,"1953-2023"
"East Vancouver Island & Mainland Inlets","Chum","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"East Vancouver Island & Mainland Inlets","Coho","Spawners",20,0.4,5,"2012-2023","arrows-left-right",-0.4,-25.4,"1953-2023","arrow-down",319430,2023,265705,206205,4,71,"1953-2023"
"East Vancouver Island & Mainland Inlets","Coho","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"East Vancouver Island & Mainland Inlets","Pink","Spawners",164,23.6,188.3,"2018-2023","arrow-up",2.2,349,"1953-2023","arrow-up",2986455,2023,1131532,1872974,2,71,"1953-2023"
"East Vancouver Island & Mainland Inlets","Pink","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,2,NA,NA
"East Vancouver Island & Mainland Inlets","Sockeye","Spawners",-13,2.4,39,"2009-2023","arrows-left-right",-1,-50,"1953-2023","arrow-down",97047,2023,111119,117152,5,71,"1953-2023"
"East Vancouver Island & Mainland Inlets","Sockeye","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
"East Vancouver Island & Mainland Inlets","Steelhead","Spawners",-44,-4.4,-46.8,"2010-2024","arrow-down",-2.2,-65.1,"1976-2024","arrow-down",731,2024,1306,1123,5,49,"1976-2024"
"East Vancouver Island & Mainland Inlets","Steelhead","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,5,NA,NA
