"region","species","year","spawners","spawners_short_trend","spawners_long_trend","total_return","total_return_short_trend","total_return_long_trend"
"Nass","Pink",1951,-64.6,NA,-57,NA,NA,NA
"Nass","Pink",1952,-61.9,NA,-55.9,NA,NA,NA
"Nass","Pink",1953,-82.8,NA,-54.8,NA,NA,NA
"Nass","Pink",1954,-86.3,NA,-53.7,NA,NA,NA
"Nass","Pink",1955,-78.4,NA,-52.6,NA,NA,NA
"Nass","Pink",1956,-70.1,NA,-51.5,NA,NA,NA
"Nass","Pink",1957,-75.1,NA,-50.3,NA,NA,NA
"Nass","Pink",1958,-68.8,NA,-49.1,NA,NA,NA
"Nass","Pink",1959,-45.1,NA,-47.8,NA,NA,NA
"Nass","Pink",1960,-52.8,NA,-46.5,NA,NA,NA
"Nass","Pink",1961,-33.5,NA,-45.2,NA,NA,NA
"Nass","Pink",1962,13.4,NA,-43.9,NA,NA,NA
"Nass","Pink",1963,8.4,NA,-42.5,NA,NA,NA
"Nass","Pink",1964,12.9,NA,-41.1,NA,NA,NA
"Nass","Pink",1965,23.5,NA,-39.7,NA,NA,NA
"Nass","Pink",1966,49.9,NA,-38.2,NA,NA,NA
"Nass","Pink",1967,-21.8,NA,-36.7,NA,NA,NA
"Nass","Pink",1968,-45.3,NA,-35.2,NA,NA,NA
"Nass","Pink",1969,-48.9,NA,-33.6,NA,NA,NA
"Nass","Pink",1970,-35.6,NA,-32,NA,NA,NA
"Nass","Pink",1971,5.2,NA,-30.3,NA,NA,NA
"Nass","Pink",1972,12.6,NA,-28.6,NA,NA,NA
"Nass","Pink",1973,-20.1,NA,-26.9,NA,NA,NA
"Nass","Pink",1974,-54.1,NA,-25.1,NA,NA,NA
"Nass","Pink",1975,-43.3,NA,-23.3,NA,NA,NA
"Nass","Pink",1976,-12,NA,-21.4,NA,NA,NA
"Nass","Pink",1977,-4.2,NA,-19.5,NA,NA,NA
"Nass","Pink",1978,28.3,NA,-17.5,NA,NA,NA
"Nass","Pink",1979,-45.1,NA,-15.5,NA,NA,NA
"Nass","Pink",1980,-69.7,NA,-13.5,NA,NA,NA
"Nass","Pink",1981,-38.3,NA,-11.3,NA,NA,NA
"Nass","Pink",1982,30.5,NA,-9.2,NA,NA,NA
"Nass","Pink",1983,94.6,NA,-7,NA,NA,NA
"Nass","Pink",1984,110.5,NA,-4.7,NA,NA,NA
"Nass","Pink",1985,182.4,NA,-2.4,NA,NA,NA
"Nass","Pink",1986,105.9,NA,0,NA,NA,NA
"Nass","Pink",1987,75.2,NA,2.4,NA,NA,NA
"Nass","Pink",1988,19.2,NA,4.9,NA,NA,NA
"Nass","Pink",1989,50.2,NA,7.5,NA,NA,NA
"Nass","Pink",1990,23.4,NA,10.1,NA,NA,NA
"Nass","Pink",1991,5.5,NA,12.8,NA,NA,NA
"Nass","Pink",1992,51.1,NA,15.5,NA,NA,NA
"Nass","Pink",1993,31.8,NA,18.4,NA,NA,NA
"Nass","Pink",1994,23.5,NA,21.3,NA,NA,NA
"Nass","Pink",1995,18,NA,24.2,NA,NA,NA
"Nass","Pink",1996,47.2,NA,27.2,NA,NA,NA
"Nass","Pink",1997,-10.8,NA,30.3,NA,NA,NA
"Nass","Pink",1998,-44.9,NA,33.5,NA,NA,NA
"Nass","Pink",1999,-1.8,NA,36.8,NA,NA,NA
"Nass","Pink",2000,75.1,NA,40.1,NA,NA,NA
"Nass","Pink",2001,172.2,NA,43.5,NA,NA,NA
"Nass","Pink",2002,243,NA,47,NA,NA,NA
"Nass","Pink",2003,218.9,NA,50.6,NA,NA,NA
"Nass","Pink",2004,259.7,NA,54.3,NA,NA,NA
"Nass","Pink",2005,274.8,NA,58,NA,NA,NA
"Nass","Pink",2006,103.6,NA,61.9,NA,NA,NA
"Nass","Pink",2007,61.3,NA,65.8,NA,NA,NA
"Nass","Pink",2008,-0.3,NA,69.9,NA,NA,NA
"Nass","Pink",2009,-7,NA,74,NA,NA,NA
"Nass","Pink",2010,92.8,NA,78.3,NA,NA,NA
"Nass","Pink",2011,-11.4,NA,82.6,NA,NA,NA
"Nass","Pink",2012,-10.9,NA,87.1,NA,NA,NA
"Nass","Pink",2013,156.7,NA,91.6,NA,NA,NA
"Nass","Pink",2014,219.5,NA,96.3,NA,NA,NA
"Nass","Pink",2015,122.9,NA,101.1,NA,NA,NA
"Nass","Pink",2016,116.3,NA,106,NA,NA,NA
"Nass","Pink",2017,178.4,28.5,111,NA,NA,NA
"Nass","Pink",2018,35.2,27.9,116.1,NA,NA,NA
"Nass","Pink",2019,-52.5,27.3,121.4,NA,NA,NA
"Nass","Pink",2020,-33.6,26.7,126.8,NA,NA,NA
"Nass","Pink",2021,48.3,26.1,132.3,NA,NA,NA
"Nass","Pink",2022,138.2,25.5,138,NA,NA,NA
"Skeena","Chinook",1975,-43.1,NA,-15.9,NA,NA,NA
"Skeena","Chinook",1976,-54.4,NA,-15.3,NA,NA,NA
"Skeena","Chinook",1977,-44.7,NA,-14.7,NA,NA,NA
"Skeena","Chinook",1978,-42.8,NA,-14,NA,NA,NA
"Skeena","Chinook",1979,-44.5,NA,-13.4,NA,NA,NA
"Skeena","Chinook",1980,-44.1,NA,-12.7,NA,NA,NA
"Skeena","Chinook",1981,-42.1,NA,-12,NA,NA,NA
"Skeena","Chinook",1982,-39.3,NA,-11.4,NA,NA,NA
"Skeena","Chinook",1983,-41.1,NA,-10.7,NA,NA,NA
"Skeena","Chinook",1984,-35.9,NA,-10,NA,NA,NA
"Skeena","Chinook",1985,-22.7,NA,-9.3,NA,NA,NA
"Skeena","Chinook",1986,-7.8,NA,-8.7,NA,NA,NA
"Skeena","Chinook",1987,6.5,NA,-8,NA,NA,NA
"Skeena","Chinook",1988,33.8,NA,-7.3,NA,NA,NA
"Skeena","Chinook",1989,54.4,NA,-6.6,NA,NA,NA
"Skeena","Chinook",1990,64.9,NA,-5.9,NA,NA,NA
"Skeena","Chinook",1991,64.5,NA,-5.1,NA,NA,NA
"Skeena","Chinook",1992,66,NA,-4.4,NA,NA,NA
"Skeena","Chinook",1993,69.5,NA,-3.7,NA,NA,NA
"Skeena","Chinook",1994,60.1,NA,-3,NA,NA,NA
"Skeena","Chinook",1995,47.1,NA,-2.2,NA,NA,NA
"Skeena","Chinook",1996,54,NA,-1.5,NA,NA,NA
"Skeena","Chinook",1997,48.6,NA,-0.8,NA,NA,NA
"Skeena","Chinook",1998,41.2,NA,0,NA,NA,NA
"Skeena","Chinook",1999,31.5,NA,0.8,NA,NA,NA
"Skeena","Chinook",2000,32.8,NA,1.5,NA,NA,NA
"Skeena","Chinook",2001,53.4,NA,2.3,NA,NA,NA
"Skeena","Chinook",2002,41.2,NA,3.1,NA,NA,NA
"Skeena","Chinook",2003,48.1,NA,3.8,NA,NA,NA
"Skeena","Chinook",2004,46.8,34.3,4.6,NA,NA,NA
"Skeena","Chinook",2005,37.4,29.2,5.4,NA,NA,NA
"Skeena","Chinook",2006,27.6,24.4,6.2,NA,NA,NA
"Skeena","Chinook",2007,9.9,19.7,7,NA,NA,NA
"Skeena","Chinook",2008,4.4,15.2,7.8,NA,NA,NA
"Skeena","Chinook",2009,-2.2,10.9,8.7,NA,NA,NA
"Skeena","Chinook",2010,-2.5,6.7,9.5,NA,NA,NA
"Skeena","Chinook",2011,1.3,2.7,10.3,NA,NA,NA
"Skeena","Chinook",2012,1.7,-1.1,11.1,NA,NA,NA
"Skeena","Chinook",2013,-2,-4.8,12,NA,NA,NA
"Skeena","Chinook",2014,-4.3,-8.4,12.8,NA,NA,NA
"Skeena","Chinook",2015,-3,-11.8,13.7,NA,NA,NA
"Skeena","Chinook",2016,-6.7,-15.1,14.6,NA,NA,NA
"Skeena","Chinook",2017,-17,-18.3,15.4,NA,NA,NA
"Skeena","Chinook",2018,-16.6,-21.4,16.3,NA,NA,NA
"Skeena","Chinook",2019,-17.7,-24.3,17.2,NA,NA,NA
"Skeena","Chinook",2020,-27.5,-27.2,18.1,NA,NA,NA
"Skeena","Chinook",2021,-43.1,-29.9,19,NA,NA,NA
"Skeena","Sockeye",1960,-67.5,NA,-22.6,-66.8,NA,-6.2
"Skeena","Sockeye",1961,-39.1,NA,-22,-39.8,NA,-6
"Skeena","Sockeye",1962,-37,NA,-21.3,-36.2,NA,-5.8
"Skeena","Sockeye",1963,-34.3,NA,-20.7,-39.1,NA,-5.6
"Skeena","Sockeye",1964,-28.1,NA,-20,-32.1,NA,-5.5
"Skeena","Sockeye",1965,-14.6,NA,-19.4,-22,NA,-5.3
"Skeena","Sockeye",1966,-27.6,NA,-18.7,-29.7,NA,-5.1
"Skeena","Sockeye",1967,-25.9,NA,-18,-22.2,NA,-4.9
"Skeena","Sockeye",1968,-26.9,NA,-17.3,-14.2,NA,-4.7
"Skeena","Sockeye",1969,-30.9,NA,-16.7,-20.1,NA,-4.5
"Skeena","Sockeye",1970,-30.2,NA,-16,-17.6,NA,-4.3
"Skeena","Sockeye",1971,-20.1,NA,-15.3,-9.4,NA,-4.1
"Skeena","Sockeye",1972,-18.5,NA,-14.6,-14.2,NA,-3.9
"Skeena","Sockeye",1973,-12.8,NA,-13.8,-7.4,NA,-3.7
"Skeena","Sockeye",1974,-10.8,NA,-13.1,3.9,NA,-3.5
"Skeena","Sockeye",1975,-7.3,NA,-12.4,4.5,NA,-3.3
"Skeena","Sockeye",1976,-13.5,NA,-11.7,-1.2,NA,-3.1
"Skeena","Sockeye",1977,-7.9,NA,-10.9,6,NA,-2.9
"Skeena","Sockeye",1978,-19.3,NA,-10.2,-8.3,NA,-2.7
"Skeena","Sockeye",1979,-11.3,NA,-9.5,-5.6,NA,-2.5
"Skeena","Sockeye",1980,-18.4,NA,-8.7,-6.5,NA,-2.3
"Skeena","Sockeye",1981,-2.4,NA,-7.9,11.9,NA,-2.1
"Skeena","Sockeye",1982,0.7,NA,-7.2,20.5,NA,-1.9
"Skeena","Sockeye",1983,16.4,NA,-6.4,32.4,NA,-1.6
"Skeena","Sockeye",1984,13,NA,-5.6,26.4,NA,-1.4
"Skeena","Sockeye",1985,48.4,NA,-4.8,62.2,NA,-1.2
"Skeena","Sockeye",1986,29.7,NA,-4.1,40,NA,-1
"Skeena","Sockeye",1987,33.5,NA,-3.3,27.9,NA,-0.8
"Skeena","Sockeye",1988,45.6,NA,-2.5,47.5,NA,-0.6
"Skeena","Sockeye",1989,48,NA,-1.6,49.9,NA,-0.4
"Skeena","Sockeye",1990,26,NA,-0.8,31,NA,-0.2
"Skeena","Sockeye",1991,40.3,NA,0,51.1,NA,0
"Skeena","Sockeye",1992,39.5,NA,0.8,68.9,NA,0.2
"Skeena","Sockeye",1993,43.7,NA,1.7,74.9,NA,0.4
"Skeena","Sockeye",1994,40.8,NA,2.5,76,NA,0.6
"Skeena","Sockeye",1995,57.2,NA,3.4,103.4,NA,0.8
"Skeena","Sockeye",1996,67,NA,4.2,133.4,NA,1
"Skeena","Sockeye",1997,54.8,NA,5.1,128.3,NA,1.3
"Skeena","Sockeye",1998,22.5,NA,6,67.3,NA,1.5
"Skeena","Sockeye",1999,11.3,NA,6.8,34.9,NA,1.7
"Skeena","Sockeye",2000,5.5,NA,7.7,30.2,NA,1.9
"Skeena","Sockeye",2001,0.5,NA,8.6,17,NA,2.1
"Skeena","Sockeye",2002,-7,NA,9.5,-4.4,NA,2.3
"Skeena","Sockeye",2003,12,NA,10.4,11.2,NA,2.5
"Skeena","Sockeye",2004,20.3,NA,11.4,24.5,NA,2.7
"Skeena","Sockeye",2005,6,NA,12.3,-6.8,NA,2.9
"Skeena","Sockeye",2006,2.4,NA,13.2,-14.4,NA,3.2
"Skeena","Sockeye",2007,13.4,NA,14.2,-6.3,NA,3.4
"Skeena","Sockeye",2008,4.3,-6.9,15.1,-6.1,-18.2,3.6
"Skeena","Sockeye",2009,-0.3,-5.6,16.1,-14.4,-18.8,3.8
"Skeena","Sockeye",2010,-1.3,-4.2,17,-16.9,-19.5,4
"Skeena","Sockeye",2011,-6.1,-2.9,18,-23.2,-20.1,4.2
"Skeena","Sockeye",2012,-4.1,-1.5,19,-22.4,-20.7,4.5
"Skeena","Sockeye",2013,-18.4,-0.1,20,-42.5,-21.3,4.7
"Skeena","Sockeye",2014,-5.9,1.3,21,-27.6,-22,4.9
"Skeena","Sockeye",2015,6.3,2.7,22,-14.9,-22.6,5.1
"Skeena","Sockeye",2016,5.8,4.1,23,-17,-23.2,5.3
"Skeena","Sockeye",2017,0.4,5.6,24,-28.8,-23.8,5.5
"Skeena","Sockeye",2018,25.8,7.1,25.1,-7.5,-24.4,5.8
"Skeena","Sockeye",2019,2.8,8.6,26.1,-29.8,-24.9,6
"Skeena","Sockeye",2020,3.2,10.1,27.1,-33.1,-25.5,6.2
"Skeena","Sockeye",2021,6.9,11.7,28.2,-32.9,-26.1,6.4
"Skeena","Sockeye",2022,30.5,13.3,29.3,-11,-26.7,6.6
"Skeena","Steelhead",1956,-10,NA,-25.2,NA,NA,NA
"Skeena","Steelhead",1957,-44.2,NA,-24.6,NA,NA,NA
"Skeena","Steelhead",1958,-33.7,NA,-23.9,NA,NA,NA
"Skeena","Steelhead",1959,-38.4,NA,-23.3,NA,NA,NA
"Skeena","Steelhead",1960,-35.3,NA,-22.6,NA,NA,NA
"Skeena","Steelhead",1961,-40.3,NA,-21.9,NA,NA,NA
"Skeena","Steelhead",1962,-24.5,NA,-21.2,NA,NA,NA
"Skeena","Steelhead",1963,-25.1,NA,-20.6,NA,NA,NA
"Skeena","Steelhead",1964,-19.5,NA,-19.9,NA,NA,NA
"Skeena","Steelhead",1965,-17.2,NA,-19.2,NA,NA,NA
"Skeena","Steelhead",1966,1.1,NA,-18.5,NA,NA,NA
"Skeena","Steelhead",1967,2.4,NA,-17.8,NA,NA,NA
"Skeena","Steelhead",1968,0.1,NA,-17,NA,NA,NA
"Skeena","Steelhead",1969,8.3,NA,-16.3,NA,NA,NA
"Skeena","Steelhead",1970,15,NA,-15.6,NA,NA,NA
"Skeena","Steelhead",1971,0.8,NA,-14.8,NA,NA,NA
"Skeena","Steelhead",1972,-9.1,NA,-14.1,NA,NA,NA
"Skeena","Steelhead",1973,-11.8,NA,-13.4,NA,NA,NA
"Skeena","Steelhead",1974,-22.2,NA,-12.6,NA,NA,NA
"Skeena","Steelhead",1975,-33.4,NA,-11.8,NA,NA,NA
"Skeena","Steelhead",1976,-29.3,NA,-11.1,NA,NA,NA
"Skeena","Steelhead",1977,-28.7,NA,-10.3,NA,NA,NA
"Skeena","Steelhead",1978,-24.8,NA,-9.5,NA,NA,NA
"Skeena","Steelhead",1979,-26.1,NA,-8.7,NA,NA,NA
"Skeena","Steelhead",1980,-17.4,NA,-7.9,NA,NA,NA
"Skeena","Steelhead",1981,-19.3,NA,-7.1,NA,NA,NA
"Skeena","Steelhead",1982,-7.5,NA,-6.3,NA,NA,NA
"Skeena","Steelhead",1983,-18.8,NA,-5.5,NA,NA,NA
"Skeena","Steelhead",1984,7.9,NA,-4.7,NA,NA,NA
"Skeena","Steelhead",1985,16,NA,-3.8,NA,NA,NA
"Skeena","Steelhead",1986,28,NA,-3,NA,NA,NA
"Skeena","Steelhead",1987,16.8,NA,-2.1,NA,NA,NA
"Skeena","Steelhead",1988,51.3,NA,-1.3,NA,NA,NA
"Skeena","Steelhead",1989,25.8,NA,-0.4,NA,NA,NA
"Skeena","Steelhead",1990,18.2,NA,0.4,NA,NA,NA
"Skeena","Steelhead",1991,-9.4,NA,1.3,NA,NA,NA
"Skeena","Steelhead",1992,-19.8,NA,2.2,NA,NA,NA
"Skeena","Steelhead",1993,-34.5,NA,3.1,NA,NA,NA
"Skeena","Steelhead",1994,-32.6,NA,4,NA,NA,NA
"Skeena","Steelhead",1995,-34.9,NA,4.9,NA,NA,NA
"Skeena","Steelhead",1996,-22.4,NA,5.8,NA,NA,NA
"Skeena","Steelhead",1997,-20.6,NA,6.7,NA,NA,NA
"Skeena","Steelhead",1998,5.9,NA,7.7,NA,NA,NA
"Skeena","Steelhead",1999,19.1,NA,8.6,NA,NA,NA
"Skeena","Steelhead",2000,43,NA,9.5,NA,NA,NA
"Skeena","Steelhead",2001,46.5,NA,10.5,NA,NA,NA
"Skeena","Steelhead",2002,92.8,NA,11.5,NA,NA,NA
"Skeena","Steelhead",2003,61.6,NA,12.4,NA,NA,NA
"Skeena","Steelhead",2004,58.3,NA,13.4,NA,NA,NA
"Skeena","Steelhead",2005,42.4,NA,14.4,NA,NA,NA
"Skeena","Steelhead",2006,44.4,NA,15.4,NA,NA,NA
"Skeena","Steelhead",2007,15.7,NA,16.4,NA,NA,NA
"Skeena","Steelhead",2008,52.6,NA,17.4,NA,NA,NA
"Skeena","Steelhead",2009,52.6,104.9,18.5,NA,NA,NA
"Skeena","Steelhead",2010,68.2,90,19.5,NA,NA,NA
"Skeena","Steelhead",2011,74.5,76.2,20.5,NA,NA,NA
"Skeena","Steelhead",2012,75.3,63.4,21.6,NA,NA,NA
"Skeena","Steelhead",2013,56.7,51.5,22.6,NA,NA,NA
"Skeena","Steelhead",2014,52.9,40.5,23.7,NA,NA,NA
"Skeena","Steelhead",2015,34.5,30.3,24.8,NA,NA,NA
"Skeena","Steelhead",2016,42.5,20.9,25.9,NA,NA,NA
"Skeena","Steelhead",2017,20.2,12.1,27,NA,NA,NA
"Skeena","Steelhead",2018,34.9,4,28.1,NA,NA,NA
"Skeena","Steelhead",2019,18.2,-3.6,29.2,NA,NA,NA
"Skeena","Steelhead",2020,5.8,-10.6,30.3,NA,NA,NA
"Skeena","Steelhead",2021,-30.6,-17.1,31.5,NA,NA,NA
"Skeena","Steelhead",2022,-32.2,-23.1,32.6,NA,NA,NA
"Skeena","Steelhead",2023,-50.1,-28.7,33.8,NA,NA,NA
"Skeena","Chum",1970,133,NA,433.8,NA,NA,NA
"Skeena","Chum",1971,61.5,NA,400.5,NA,NA,NA
"Skeena","Chum",1972,174.2,NA,369.3,NA,NA,NA
"Skeena","Chum",1973,225.6,NA,340,NA,NA,NA
"Skeena","Chum",1974,220.7,NA,312.5,NA,NA,NA
"Skeena","Chum",1975,217.6,NA,286.8,NA,NA,NA
"Skeena","Chum",1976,269,NA,262.7,NA,NA,NA
"Skeena","Chum",1977,189.2,NA,240.1,NA,NA,NA
"Skeena","Chum",1978,130.3,NA,218.8,NA,NA,NA
"Skeena","Chum",1979,92.2,NA,198.9,NA,NA,NA
"Skeena","Chum",1980,129.1,NA,180.3,NA,NA,NA
"Skeena","Chum",1981,121.7,NA,162.8,NA,NA,NA
"Skeena","Chum",1982,86.7,NA,146.4,NA,NA,NA
"Skeena","Chum",1983,35.9,NA,131,NA,NA,NA
"Skeena","Chum",1984,89.1,NA,116.6,NA,NA,NA
"Skeena","Chum",1985,63.8,NA,103.1,NA,NA,NA
"Skeena","Chum",1986,74.2,NA,90.4,NA,NA,NA
"Skeena","Chum",1987,92.7,NA,78.6,NA,NA,NA
"Skeena","Chum",1988,344.5,NA,67.4,NA,NA,NA
"Skeena","Chum",1989,311.9,NA,57,NA,NA,NA
"Skeena","Chum",1990,261.4,NA,47.2,NA,NA,NA
"Skeena","Chum",1991,195.6,NA,38,NA,NA,NA
"Skeena","Chum",1992,219.5,NA,29.4,NA,NA,NA
"Skeena","Chum",1993,98.4,NA,21.3,NA,NA,NA
"Skeena","Chum",1994,64.5,NA,13.8,NA,NA,NA
"Skeena","Chum",1995,72,NA,6.7,NA,NA,NA
"Skeena","Chum",1996,93.4,NA,0,NA,NA,NA
"Skeena","Chum",1997,121.5,NA,-6.2,NA,NA,NA
"Skeena","Chum",1998,138.8,NA,-12.1,NA,NA,NA
"Skeena","Chum",1999,91.6,NA,-17.6,NA,NA,NA
"Skeena","Chum",2000,72.3,NA,-22.7,NA,NA,NA
"Skeena","Chum",2001,73.1,NA,-27.5,NA,NA,NA
"Skeena","Chum",2002,16.4,NA,-32.1,NA,NA,NA
"Skeena","Chum",2003,-23.6,NA,-36.3,NA,NA,NA
"Skeena","Chum",2004,-27.7,NA,-40.3,NA,NA,NA
"Skeena","Chum",2005,-37,NA,-44,NA,NA,NA
"Skeena","Chum",2006,-62,NA,-47.5,NA,NA,NA
"Skeena","Chum",2007,-73.8,NA,-50.8,NA,NA,NA
"Skeena","Chum",2008,-79.6,-70.4,-53.8,NA,NA,NA
"Skeena","Chum",2009,-81.3,-71.9,-56.7,NA,NA,NA
"Skeena","Chum",2010,-83.8,-73.3,-59.4,NA,NA,NA
"Skeena","Chum",2011,-77.3,-74.6,-61.9,NA,NA,NA
"Skeena","Chum",2012,-69.1,-75.8,-64.3,NA,NA,NA
"Skeena","Chum",2013,-62.4,-77,-66.5,NA,NA,NA
"Skeena","Chum",2014,-64.3,-78.2,-68.6,NA,NA,NA
"Skeena","Chum",2015,-60.5,-79.3,-70.6,NA,NA,NA
"Skeena","Chum",2016,-68.7,-80.3,-72.4,NA,NA,NA
"Skeena","Chum",2017,-78.8,-81.3,-74.1,NA,NA,NA
"Skeena","Chum",2018,-81.8,-82.2,-75.8,NA,NA,NA
"Skeena","Chum",2019,-81,-83.1,-77.3,NA,NA,NA
"Skeena","Chum",2020,-89.9,-83.9,-78.7,NA,NA,NA
"Skeena","Chum",2021,-90.3,-84.7,-80,NA,NA,NA
"Skeena","Chum",2022,-89.2,-85.5,-81.3,NA,NA,NA
"Skeena","Coho",1950,-1.1,NA,30,NA,NA,NA
"Skeena","Coho",1951,20.2,NA,29,NA,NA,NA
"Skeena","Coho",1952,33.8,NA,28.1,NA,NA,NA
"Skeena","Coho",1953,41.1,NA,27.1,NA,NA,NA
"Skeena","Coho",1954,68.4,NA,26.2,NA,NA,NA
"Skeena","Coho",1955,77.8,NA,25.3,NA,NA,NA
"Skeena","Coho",1956,109,NA,24.4,NA,NA,NA
"Skeena","Coho",1957,114.7,NA,23.5,NA,NA,NA
"Skeena","Coho",1958,148.7,NA,22.6,NA,NA,NA
"Skeena","Coho",1959,165.8,NA,21.7,NA,NA,NA
"Skeena","Coho",1960,159.7,NA,20.8,NA,NA,NA
"Skeena","Coho",1961,150.5,NA,20,NA,NA,NA
"Skeena","Coho",1962,84.1,NA,19.1,NA,NA,NA
"Skeena","Coho",1963,83.3,NA,18.2,NA,NA,NA
"Skeena","Coho",1964,55.9,NA,17.4,NA,NA,NA
"Skeena","Coho",1965,89.1,NA,16.5,NA,NA,NA
"Skeena","Coho",1966,118.1,NA,15.7,NA,NA,NA
"Skeena","Coho",1967,75.5,NA,14.8,NA,NA,NA
"Skeena","Coho",1968,88.1,NA,14,NA,NA,NA
"Skeena","Coho",1969,41.4,NA,13.2,NA,NA,NA
"Skeena","Coho",1970,31.4,NA,12.3,NA,NA,NA
"Skeena","Coho",1971,39.4,NA,11.5,NA,NA,NA
"Skeena","Coho",1972,14.9,NA,10.7,NA,NA,NA
"Skeena","Coho",1973,1,NA,9.9,NA,NA,NA
"Skeena","Coho",1974,-19.2,NA,9.1,NA,NA,NA
"Skeena","Coho",1975,-45,NA,8.3,NA,NA,NA
"Skeena","Coho",1976,-52.1,NA,7.5,NA,NA,NA
"Skeena","Coho",1977,-54.9,NA,6.8,NA,NA,NA
"Skeena","Coho",1978,-52.6,NA,6,NA,NA,NA
"Skeena","Coho",1979,-51.3,NA,5.2,NA,NA,NA
"Skeena","Coho",1980,-49.5,NA,4.5,NA,NA,NA
"Skeena","Coho",1981,-49.6,NA,3.7,NA,NA,NA
"Skeena","Coho",1982,-57.1,NA,3,NA,NA,NA
"Skeena","Coho",1983,-53,NA,2.2,NA,NA,NA
"Skeena","Coho",1984,-49.7,NA,1.5,NA,NA,NA
"Skeena","Coho",1985,-54.6,NA,0.7,NA,NA,NA
"Skeena","Coho",1986,-43.2,NA,0,NA,NA,NA
"Skeena","Coho",1987,-32.7,NA,-0.7,NA,NA,NA
"Skeena","Coho",1988,-51.8,NA,-1.4,NA,NA,NA
"Skeena","Coho",1989,-39.7,NA,-2.2,NA,NA,NA
"Skeena","Coho",1990,-34.4,NA,-2.9,NA,NA,NA
"Skeena","Coho",1991,-33.3,NA,-3.6,NA,NA,NA
"Skeena","Coho",1992,-6,NA,-4.3,NA,NA,NA
"Skeena","Coho",1993,-20.3,NA,-5,NA,NA,NA
"Skeena","Coho",1994,-24.4,NA,-5.7,NA,NA,NA
"Skeena","Coho",1995,-39,NA,-6.3,NA,NA,NA
"Skeena","Coho",1996,-51.2,NA,-7,NA,NA,NA
"Skeena","Coho",1997,-60.7,NA,-7.7,NA,NA,NA
"Skeena","Coho",1998,-63,NA,-8.4,NA,NA,NA
"Skeena","Coho",1999,-50.2,NA,-9,NA,NA,NA
"Skeena","Coho",2000,-41.5,NA,-9.7,NA,NA,NA
"Skeena","Coho",2001,4.4,NA,-10.3,NA,NA,NA
"Skeena","Coho",2002,8.1,NA,-11,NA,NA,NA
"Skeena","Coho",2003,10.9,NA,-11.6,NA,NA,NA
"Skeena","Coho",2004,25.2,NA,-12.3,NA,NA,NA
"Skeena","Coho",2005,33.2,NA,-12.9,NA,NA,NA
"Skeena","Coho",2006,46.6,NA,-13.5,NA,NA,NA
"Skeena","Coho",2007,37.2,NA,-14.2,NA,NA,NA
"Skeena","Coho",2008,19.9,NA,-14.8,NA,NA,NA
"Skeena","Coho",2009,19.4,NA,-15.4,NA,NA,NA
"Skeena","Coho",2010,17.3,NA,-16,NA,NA,NA
"Skeena","Coho",2011,10.7,34.4,-16.6,NA,NA,NA
"Skeena","Coho",2012,19.2,30.7,-17.2,NA,NA,NA
"Skeena","Coho",2013,19.4,27.2,-17.8,NA,NA,NA
"Skeena","Coho",2014,33.4,23.7,-18.4,NA,NA,NA
"Skeena","Coho",2015,31.8,20.4,-19,NA,NA,NA
"Skeena","Coho",2016,51.2,17.1,-19.6,NA,NA,NA
"Skeena","Coho",2017,34.1,14,-20.2,NA,NA,NA
"Skeena","Coho",2018,9.9,10.9,-20.8,NA,NA,NA
"Skeena","Coho",2019,17.2,7.9,-21.4,NA,NA,NA
"Skeena","Coho",2020,6.9,4.9,-21.9,NA,NA,NA
"Skeena","Coho",2021,-16.8,2.1,-22.5,NA,NA,NA
"Skeena","Coho",2022,-12.1,-0.7,-23,NA,NA,NA
"Skeena","Pink",1950,-15.5,NA,33,NA,NA,NA
"Skeena","Pink",1951,-27.5,NA,32,NA,NA,NA
"Skeena","Pink",1952,24.1,NA,30.9,NA,NA,NA
"Skeena","Pink",1953,1.5,NA,29.9,NA,NA,NA
"Skeena","Pink",1954,-44.7,NA,28.9,NA,NA,NA
"Skeena","Pink",1955,-37.9,NA,27.8,NA,NA,NA
"Skeena","Pink",1956,-58.6,NA,26.8,NA,NA,NA
"Skeena","Pink",1957,-48,NA,25.8,NA,NA,NA
"Skeena","Pink",1958,-33.8,NA,24.8,NA,NA,NA
"Skeena","Pink",1959,-30.5,NA,23.9,NA,NA,NA
"Skeena","Pink",1960,-47,NA,22.9,NA,NA,NA
"Skeena","Pink",1961,-46.1,NA,21.9,NA,NA,NA
"Skeena","Pink",1962,21,NA,20.9,NA,NA,NA
"Skeena","Pink",1963,47.7,NA,20,NA,NA,NA
"Skeena","Pink",1964,89.8,NA,19,NA,NA,NA
"Skeena","Pink",1965,108.9,NA,18.1,NA,NA,NA
"Skeena","Pink",1966,36.7,NA,17.2,NA,NA,NA
"Skeena","Pink",1967,-14,NA,16.2,NA,NA,NA
"Skeena","Pink",1968,33.6,NA,15.3,NA,NA,NA
"Skeena","Pink",1969,71,NA,14.4,NA,NA,NA
"Skeena","Pink",1970,36.6,NA,13.5,NA,NA,NA
"Skeena","Pink",1971,35.2,NA,12.6,NA,NA,NA
"Skeena","Pink",1972,51.8,NA,11.7,NA,NA,NA
"Skeena","Pink",1973,69.6,NA,10.9,NA,NA,NA
"Skeena","Pink",1974,-10,NA,10,NA,NA,NA
